t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load
1788066735.5,0.00,752.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.358,9.68,92.0,49.0,0.0
1788066735.7,0.00,754.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.341,9.68,92.0,49.0,0.0
1788066735.9,0.00,751.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.299,9.68,92.0,49.0,0.0
1788066736.1,0.00,750.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,62.75,1.329,9.68,92.0,49.0,0.0
1788066736.3,0.00,750.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.341,9.68,92.0,49.0,0.0
1788066736.5,0.00,749.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,62.75,1.286,9.68,92.0,49.0,0.0
1788066736.7,0.00,750.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.358,9.68,92.0,49.0,0.0
1788066736.9,0.00,754.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.329,9.68,92.0,49.0,0.0
1788066737.1,0.00,755.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,62.75,1.299,9.68,92.0,49.0,0.0
1788066737.3,0.00,757.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.341,9.68,92.0,49.0,0.0
1788066737.5,0.00,757.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.269,9.68,92.0,49.0,0.0
1788066737.7,0.00,758.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.312,9.68,92.0,49.0,0.0
1788066737.9,0.00,755.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,62.75,1.341,9.68,92.0,49.0,0.0
1788066738.1,0.00,753.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.358,9.68,92.0,49.0,0.0
1788066738.3,0.00,753.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.329,9.68,92.0,49.0,0.0
1788066738.6,0.00,752.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.358,9.68,92.0,49.0,0.0
1788066738.8,0.00,750.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109700,147.36466,63.14,1.371,9.68,92.0,49.0,0.0
