t,speed,rpm,gear,engaged,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load
1788188069.0,0.00,0.0,0,0,0.000,0.000,0.0000,0,False,False,,False,0.0,0.00,0,0.00000,0.00,0.000,0.00,0.0,0.0,0.0
1788188069.2,0.00,696.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,78.04,0.640,10.82,86.0,32.0,0.0
1788188069.4,0.00,697.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,78.43,0.640,10.82,86.0,32.0,0.0
1788188069.6,0.00,695.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,81.18,0.658,10.82,86.0,31.0,0.0
1788188069.8,0.00,699.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,80.00,0.658,10.82,86.0,32.0,0.0
1788188070.0,0.00,699.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,79.22,0.640,10.82,86.0,31.0,0.0
1788188070.2,0.00,702.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,76.47,0.651,10.82,86.0,31.0,0.0
1788188070.4,0.00,702.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,80.00,0.651,10.82,86.0,31.0,0.0
1788188070.6,0.00,701.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,80.78,0.633,10.82,86.0,31.0,0.0
1788188070.8,0.00,695.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,79.22,0.633,10.82,86.0,31.0,0.0
1788188071.0,0.00,697.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110150,43.80402,78.43,0.658,10.82,86.0,32.0,0.0
1788188071.2,0.00,697.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.80402,78.04,0.633,10.82,86.0,31.0,0.0
1788188071.4,0.00,697.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.80402,79.22,0.658,10.82,86.0,32.0,0.0
1788188071.6,0.00,696.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.80402,79.22,0.640,10.82,86.0,32.0,0.0
1788188071.8,0.00,695.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.80402,79.22,0.633,10.82,86.0,32.0,0.0
1788188072.0,0.00,693.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.80402,78.04,0.651,10.82,86.0,32.0,0.0
1788188072.2,0.00,694.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.80402,80.00,0.640,10.82,86.0,32.0,0.0
1788188072.4,0.00,694.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.80402,79.61,0.625,10.82,86.0,32.0,0.0
1788188072.6,0.00,695.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.80402,79.61,0.658,10.82,86.0,32.0,0.0
1788188072.8,0.00,698.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,78.04,0.640,10.82,86.0,32.0,0.0
1788188073.0,0.00,695.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,78.04,0.651,10.82,86.0,32.0,0.0
1788188073.2,0.00,697.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.61,0.651,10.82,86.0,32.0,0.0
1788188073.4,0.00,702.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.22,0.651,10.82,86.0,32.0,0.0
1788188073.7,0.00,704.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.22,0.651,10.82,86.0,32.0,0.0
1788188073.9,0.00,702.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,76.86,0.651,10.82,86.0,32.0,0.0
1788188074.1,0.00,703.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.61,0.651,10.82,86.0,31.0,0.0
1788188074.3,0.00,702.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,78.82,0.640,10.82,86.0,32.0,0.0
1788188074.5,0.00,700.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.61,0.625,10.82,86.0,32.0,0.0
1788188074.7,0.00,700.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,78.04,0.651,10.82,86.0,32.0,0.0
1788188074.9,0.00,698.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,78.43,0.658,10.82,86.0,32.0,0.0
1788188075.1,0.00,702.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.61,0.651,10.82,86.0,32.0,0.0
1788188075.3,0.00,702.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.61,0.651,10.82,86.0,32.0,0.0
1788188075.5,0.00,704.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,80.00,0.625,10.81,86.0,32.0,0.0
1788188075.7,0.00,705.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,76.47,0.640,10.81,86.0,32.0,0.0
1788188075.9,0.00,706.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.61,0.651,10.81,86.0,32.0,0.0
1788188076.1,0.00,705.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,80.78,0.633,10.81,86.0,32.0,0.0
1788188076.3,0.00,707.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,79.61,0.640,10.81,86.0,32.0,0.0
1788188076.5,0.00,705.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,78.04,0.640,10.81,86.0,32.0,0.0
1788188076.7,0.00,706.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,36.4,0.00,110150,43.79992,78.04,0.651,10.81,86.0,32.0,0.0
