t,speed,rpm,gear,ratio,mech,slip,tcc,locked,trip_km,fuel_pt,coolant,map,load
1787841904.7,0.00,705.2,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,42.0,0.0
1787841905.2,0.00,704.5,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
1787841905.7,0.00,682.0,0,0.260,0.000,0.0000,0,False,285.88037,34.12,88.0,39.0,0.0
1787841906.2,0.00,743.8,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,35.0,0.0
1787841906.7,0.00,728.0,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,32.0,0.0
1787841907.2,0.00,703.0,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,31.0,0.0
1787841907.7,0.00,691.0,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,31.0,0.0
1787841908.2,0.00,694.5,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,31.0,0.0
1787841908.7,0.00,698.0,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,31.0,0.0
1787841909.2,0.00,698.2,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,31.0,0.0
1787841909.7,0.00,700.0,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,31.0,0.0
1787841910.2,0.00,702.2,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,31.0,0.0
1787841910.7,0.00,702.2,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,31.0,0.0
1787841911.2,0.00,703.5,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,31.0,0.0
1787841911.7,0.00,699.8,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,31.0,0.0
1787841912.2,0.00,699.0,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,31.0,0.0
1787841912.7,0.00,700.8,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,33.0,0.0
1787841913.2,0.00,737.8,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,39.0,0.0
1787841913.7,0.00,740.2,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,41.0,0.0
1787841914.3,0.00,735.0,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,42.0,0.0
1787841914.8,0.00,727.2,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,42.0,0.0
1787841915.3,0.00,720.2,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,43.0,0.0
1787841915.8,0.00,721.0,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,44.0,0.0
1787841916.3,0.00,734.0,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,44.0,0.0
1787841916.8,0.00,738.0,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,43.0,0.0
1787841917.3,0.00,728.2,0,0.260,0.000,0.0000,0,False,285.88037,34.12,88.0,42.0,0.0
1787841917.8,0.00,717.5,0,0.260,0.000,0.0000,0,False,285.88037,34.12,88.0,42.0,0.0
1787841918.3,0.00,713.2,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
1787841918.8,0.00,716.0,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,42.0,0.0
1787841919.3,0.00,719.2,0,0.260,0.000,0.0000,0,False,285.88037,34.12,88.0,42.0,0.0
1787841919.8,0.00,715.5,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,42.0,0.0
1787841920.3,0.00,711.8,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
1787841920.8,0.00,705.5,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
1787841921.3,0.00,703.0,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
1787841921.8,0.00,703.8,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,42.0,0.0
1787841922.3,0.00,710.5,0,0.260,0.000,0.0000,0,False,285.88037,34.12,88.0,42.0,0.0
1787841922.8,0.00,715.8,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,42.0,0.0
1787841923.3,0.00,706.5,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
1787841923.8,0.00,704.5,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,42.0,0.0
1787841924.3,0.00,703.8,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,42.0,0.0
1787841924.8,0.00,708.5,0,0.260,0.000,0.0000,0,False,285.88037,34.12,88.0,42.0,0.0
1787841925.3,0.00,710.2,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,42.0,0.0
1787841925.8,0.00,710.2,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
1787841926.3,0.00,709.2,0,0.260,0.000,0.0000,0,False,285.88037,34.51,88.0,42.0,0.0
1787841926.8,0.00,708.8,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
1787841927.3,0.00,707.0,0,0.260,0.000,0.0000,0,False,285.88037,34.90,88.0,42.0,0.0
1787841927.8,0.00,705.8,0,0.260,0.000,0.0000,0,False,285.88037,33.73,88.0,42.0,0.0
