t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,coolant,map,load
1787917859.8,3.07,764.2,0,2.820,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92649,15.29,93.0,60.0,0.0
1787917860.0,3.07,758.0,0,2.820,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92688,23.53,93.0,60.0,0.0
1787917860.2,3.18,760.0,0,2.820,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92727,15.69,93.0,60.0,0.0
1787917860.4,3.65,763.8,0,2.820,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92727,14.90,93.0,61.0,0.0
1787917860.6,4.12,812.5,0,2.780,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92766,13.73,93.0,63.0,0.0
1787917860.8,3.96,870.5,0,2.350,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92766,13.73,93.0,66.0,0.0
1787917861.0,4.10,813.0,0,2.580,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92805,12.94,93.0,61.0,0.0
1787917861.2,4.19,818.5,0,2.720,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92805,14.51,93.0,62.0,0.0
1787917861.4,4.24,797.0,0,2.700,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92844,14.90,93.0,62.0,0.0
1787917861.6,4.30,801.0,0,2.540,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92883,23.14,93.0,60.0,0.0
1787917861.8,4.36,787.0,0,2.750,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92883,14.12,93.0,58.0,0.0
1787917862.0,4.39,779.5,0,2.490,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92922,14.90,93.0,55.0,0.0
1787917862.2,4.43,774.8,0,2.660,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92961,16.08,93.0,52.0,0.0
1787917862.4,4.48,770.5,0,2.710,0.000,0.0000,0,False,False,R,False,0.0,0.00,109120,399.92961,15.69,93.0,51.0,0.0
