t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load
1787988708.8,0.00,1348.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,78.82,2.653,9.58,38.0,48.0,0.0
1787988709.0,0.00,1347.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,79.22,2.725,9.58,38.0,49.0,0.0
1787988709.2,0.00,1343.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,78.82,2.700,9.58,39.0,49.0,0.0
1787988709.4,0.00,1343.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,78.43,2.772,9.58,39.0,49.0,0.0
1787988709.6,0.00,1341.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,78.82,2.700,9.58,39.0,49.0,0.0
1787988709.8,0.00,1340.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,78.82,2.772,9.58,39.0,50.0,0.0
1787988710.0,0.00,1342.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,79.22,2.653,9.58,39.0,50.0,0.0
1787988710.2,0.00,1340.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,78.82,2.746,9.58,39.0,50.0,0.0
1787988710.4,0.00,1340.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109620,71.05991,78.43,2.725,9.58,39.0,50.0,0.0
1787988710.6,0.00,1341.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.82,2.814,9.58,39.0,50.0,0.0
1787988710.8,0.00,1341.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.82,2.814,9.58,39.0,50.0,0.0
1787988711.0,0.00,1340.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.82,2.861,9.58,39.0,50.0,0.0
1787988711.2,0.00,1341.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.43,2.840,9.58,39.0,51.0,0.0
1787988711.4,0.00,1343.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.82,2.793,9.58,39.0,51.0,0.0
1787988711.6,0.00,1342.2,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.82,2.793,9.58,39.0,51.0,0.0
1787988711.8,0.00,1338.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.43,2.814,9.57,39.0,51.0,0.0
1787988712.0,0.00,1339.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.43,2.840,9.57,39.0,51.0,0.0
1787988712.2,0.00,1337.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.82,2.840,9.57,39.0,51.0,0.0
1787988712.4,0.00,1335.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,0.00,109620,71.05991,78.43,2.840,9.57,39.0,51.0,0.0
1787988712.7,0.00,1333.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.814,9.57,39.0,51.0,0.0
1787988712.9,0.00,1326.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.04,2.772,9.57,39.0,52.0,0.0
1787988713.1,0.00,1330.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.861,9.57,39.0,52.0,0.0
1787988713.3,0.00,1326.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.793,9.57,39.0,52.0,0.0
1787988713.5,0.00,1323.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,79.22,2.840,9.57,39.0,52.0,0.0
1787988713.7,0.00,1324.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.814,9.57,39.0,52.0,0.0
1787988713.9,0.00,1326.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,79.22,2.840,9.57,39.0,52.0,0.0
1787988714.1,0.00,1327.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.793,9.57,39.0,52.0,0.0
1787988714.3,0.00,1323.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.772,9.57,39.0,51.0,0.0
1787988714.5,0.00,1316.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.793,9.57,39.0,51.0,0.0
1787988714.7,0.00,1313.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.725,9.57,39.0,51.0,0.0
1787988714.9,0.00,1313.2,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.814,9.57,40.0,51.0,0.0
1787988715.1,0.00,1311.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.746,9.57,40.0,51.0,0.0
1787988715.3,0.00,1307.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,79.22,2.772,9.57,40.0,51.0,0.0
1787988715.5,0.00,1310.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,79.22,2.746,9.57,40.0,51.0,0.0
1787988715.7,0.00,1306.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,79.22,2.725,9.57,40.0,51.0,0.0
1787988715.9,0.00,1309.2,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.793,9.57,40.0,51.0,0.0
1787988716.1,0.00,1303.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.725,9.57,40.0,51.0,0.0
1787988716.3,0.00,1303.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.772,9.57,40.0,51.0,0.0
1787988716.5,0.00,1299.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.725,9.57,40.0,51.0,0.0
1787988716.8,0.00,1298.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.746,9.57,40.0,51.0,0.0
1787988717.0,0.00,1293.2,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.746,9.57,40.0,51.0,0.0
1787988717.2,0.00,1293.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.653,9.57,40.0,51.0,0.0
1787988717.4,0.00,1290.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.772,9.57,40.0,51.0,0.0
1787988717.6,0.00,1284.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.700,9.57,40.0,51.0,0.0
1787988717.8,0.00,1284.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.700,9.57,40.0,51.0,0.0
1787988718.0,0.00,1280.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.653,9.57,40.0,51.0,0.0
1787988718.2,0.00,1279.5,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.653,9.57,40.0,51.0,0.0
1787988718.4,0.00,1281.2,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.700,9.57,40.0,51.0,0.0
1787988718.6,0.00,1280.0,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.82,2.632,9.57,40.0,51.0,0.0
1787988718.8,0.00,1273.8,0,0.260,0.000,0.0000,0,False,False,P,False,31.8,13.89,109620,71.05991,78.43,2.632,9.57,40.0,51.0,0.0
