t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load
1787938888.9,0.00,755.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,35.69,1.227,7.54,89.0,46.0,0.0
1787938889.1,0.00,758.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,35.69,1.286,7.54,89.0,46.0,0.0
1787938889.3,0.00,759.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,35.69,1.244,7.54,89.0,46.0,0.0
1787938889.5,0.00,758.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,35.69,1.269,7.54,89.0,46.0,0.0
1787938889.7,0.00,759.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,34.90,1.244,7.54,89.0,46.0,0.0
1787938889.9,0.00,762.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,34.90,1.256,7.54,89.0,45.0,0.0
1787938890.1,0.00,760.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,34.51,1.256,7.54,89.0,45.0,0.0
1787938890.3,0.00,762.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,34.51,1.244,7.54,89.0,46.0,0.0
1787938890.5,0.00,758.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109430,209.51924,34.51,1.269,7.54,89.0,46.0,0.0
1787938890.7,0.00,757.2,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,34.51,1.256,7.54,89.0,46.0,0.0
1787938890.9,0.00,759.0,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,34.51,1.299,7.54,89.0,46.0,0.0
1787938891.1,0.00,761.5,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.269,7.54,89.0,46.0,0.0
1787938891.3,0.00,764.8,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.227,7.54,89.0,45.0,0.0
1787938891.5,0.00,760.5,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.256,7.54,89.0,45.0,0.0
1787938891.7,0.00,761.5,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.214,7.54,89.0,45.0,0.0
1787938891.9,0.00,760.2,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.244,7.54,89.0,45.0,0.0
1787938892.1,0.00,760.2,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,34.90,1.256,7.54,89.0,45.0,0.0
1787938892.3,0.00,759.8,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,34.90,1.256,7.54,89.0,45.0,0.0
1787938892.5,0.00,758.5,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,34.90,1.227,7.54,89.0,45.0,0.0
1787938892.7,0.00,760.5,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.256,7.54,89.0,45.0,0.0
1787938892.9,0.00,760.5,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.269,7.54,89.0,45.0,0.0
1787938893.2,0.00,760.8,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.29,1.299,7.54,89.0,45.0,0.0
1787938893.4,0.00,764.8,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.256,7.54,89.0,45.0,0.0
1787938893.6,0.00,766.2,0,0.260,0.000,0.0000,0,False,False,P,False,79.4,0.00,109430,209.51924,35.69,1.269,7.54,89.0,45.0,0.0
