t,speed,rpm,gear,engaged,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load
1788258992.8,0.00,1212.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110230,124.08124,63.92,1.836,12.29,39.0,46.0,0.0
1788258993.0,0.00,1210.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110230,124.08124,64.31,1.854,12.29,39.0,46.0,0.0
1788258993.2,0.00,1214.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110230,124.08124,64.31,1.891,12.29,39.0,46.0,0.0
1788258993.4,0.00,1214.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110230,124.08124,63.92,1.909,12.29,39.0,46.0,0.0
1788258993.6,0.00,1216.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110230,124.08124,63.92,1.891,12.29,39.0,46.0,0.0
1788258993.8,0.00,1219.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110230,124.08124,63.14,1.891,12.29,39.0,46.0,0.0
1788258994.0,0.00,1217.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110230,124.08124,64.31,1.891,12.29,39.0,46.0,0.0
1788258994.2,0.00,1218.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110230,124.08124,63.92,1.946,12.29,39.0,46.0,0.0
1788258994.4,0.00,1216.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,64.31,1.891,12.29,39.0,45.0,0.0
1788258994.6,0.00,1217.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,64.31,1.909,12.29,39.0,46.0,0.0
1788258994.8,0.00,1213.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,63.92,1.891,12.29,39.0,46.0,0.0
1788258995.0,0.00,1211.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,63.92,1.891,12.29,39.0,46.0,0.0
1788258995.2,0.00,1210.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,63.92,1.909,12.29,40.0,46.0,0.0
1788258995.5,0.00,1209.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,64.31,1.909,12.29,40.0,46.0,0.0
1788258995.7,0.00,1210.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,63.92,1.872,12.29,40.0,46.0,0.0
1788258995.9,0.00,1205.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,64.31,1.909,12.29,40.0,46.0,0.0
1788258996.1,0.00,1203.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,64.31,1.854,12.29,40.0,46.0,0.0
1788258996.3,0.00,1205.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,14.13,110230,124.08124,63.92,1.872,12.29,40.0,46.0,0.0
1788258996.5,0.00,1205.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.909,12.29,40.0,45.0,0.0
1788258996.7,0.00,1207.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.891,12.29,40.0,45.0,0.0
1788258996.9,0.00,1207.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.854,12.29,40.0,45.0,0.0
1788258997.1,0.00,1204.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.891,12.29,40.0,45.0,0.0
1788258997.3,0.00,1204.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.872,12.29,40.0,45.0,0.0
1788258997.5,0.00,1206.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.836,12.29,40.0,45.0,0.0
1788258997.7,0.00,1207.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.821,12.29,40.0,45.0,0.0
1788258997.9,0.00,1206.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.872,12.29,40.0,45.0,0.0
1788258998.1,0.00,1201.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.891,12.29,40.0,45.0,0.0
1788258998.3,0.00,1201.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.872,12.29,40.0,45.0,0.0
1788258998.5,0.00,1198.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.891,12.29,40.0,45.0,0.0
1788258998.7,0.00,1194.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.891,12.29,40.0,45.0,0.0
1788258998.9,0.00,1196.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.854,12.29,40.0,45.0,0.0
1788258999.1,0.00,1195.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.891,12.29,40.0,45.0,0.0
1788258999.3,0.00,1196.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.854,12.29,40.0,45.0,0.0
1788258999.5,0.00,1196.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.803,12.29,40.0,45.0,0.0
1788258999.7,0.00,1198.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.872,12.29,41.0,45.0,0.0
1788258999.9,0.00,1200.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.854,12.29,41.0,45.0,0.0
1788259000.1,0.00,1199.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.803,12.29,41.0,45.0,0.0
1788259000.3,0.00,1193.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.836,12.29,41.0,45.0,0.0
1788259000.5,0.00,1192.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.803,12.29,41.0,45.0,0.0
1788259000.7,0.00,1188.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.891,12.29,41.0,45.0,0.0
1788259000.9,0.00,1188.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.836,12.29,41.0,45.0,0.0
1788259001.1,0.00,1186.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.872,12.29,41.0,45.0,0.0
1788259001.3,0.00,1184.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.891,12.29,41.0,45.0,0.0
1788259001.6,0.00,1185.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.872,12.29,41.0,45.0,0.0
1788259001.8,0.00,1189.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.836,12.29,41.0,45.0,0.0
1788259002.0,0.00,1190.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.836,12.29,41.0,45.0,0.0
1788259002.2,0.00,1190.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.836,12.29,41.0,45.0,0.0
1788259002.4,0.00,1186.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.821,12.29,41.0,45.0,0.0
1788259002.6,0.00,1182.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.803,12.29,41.0,45.0,0.0
1788259002.8,0.00,1183.0,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.836,12.29,41.0,45.0,0.0
1788259003.0,0.00,1178.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.836,12.29,41.0,45.0,0.0
1788259003.2,0.00,1177.8,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.788,12.29,41.0,45.0,0.0
1788259003.4,0.00,1179.5,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,64.31,1.854,12.29,41.0,45.0,0.0
1788259003.6,0.00,1180.2,0,0,0.260,0.000,0.0000,0,False,False,P,False,29.9,14.13,110230,124.08124,63.92,1.854,12.29,41.0,45.0,0.0
