t,speed,rpm,gear,ratio,mech,slip,tcc,locked,trip_km,fuel_pt,coolant,map,load
1787836166.4,49.20,1363.5,4,0.730,0.726,1.0055,99.45205479452055,True,267.47865,35.69,90.0,24.0,0.0
1787836166.9,47.34,1304.2,4,0.730,0.726,1.0055,99.45205479452055,True,267.48527,38.04,90.0,24.0,0.0
1787836167.4,45.17,1241.0,4,0.730,0.726,1.0055,99.45205479452055,True,267.49150,35.69,90.0,24.0,0.0
1787836167.9,42.94,1175.8,4,0.730,0.726,1.0055,99.45205479452055,True,267.49773,35.69,90.0,24.0,0.0
1787836168.4,40.83,1107.0,4,0.730,0.726,1.0055,99.45205479452055,True,267.50357,34.12,90.0,24.0,0.0
1787836168.9,39.25,1044.0,4,0.730,0.726,1.0055,99.45205479452055,True,267.50902,38.04,90.0,25.0,0.0
1787836169.4,38.37,1032.0,4,0.730,0.726,1.0055,99.45205479452055,True,267.51447,43.92,90.0,26.0,0.0
1787836169.9,38.23,1014.2,4,0.730,0.726,1.0055,99.45205479452055,True,267.51992,35.69,90.0,26.0,0.0
1787836170.4,37.53,1189.0,3,3.290,1.000,3.2900,30.3951367781155,False,267.52576,40.39,90.0,45.0,17.0
1787836170.9,37.81,1665.2,3,3.430,1.000,3.4300,29.154518950437314,False,267.53083,36.86,90.0,68.0,18.0
1787836171.4,38.37,1816.5,3,1.000,1.000,1.0000,100,False,267.53628,42.75,90.0,68.0,19.0
1787836171.9,39.36,1833.5,3,1.000,1.000,1.0000,100,False,267.54173,42.75,90.0,69.0,19.0
1787836172.4,40.05,1868.8,3,1.000,1.000,1.0000,100,False,267.54718,41.57,90.0,70.0,20.0
1787836172.9,41.05,1907.2,3,1.000,1.000,1.0000,100,False,267.55263,43.92,90.0,71.0,21.0
1787836173.5,42.09,1951.5,3,1.000,1.000,1.0000,100,False,267.55847,39.22,90.0,74.0,23.0
1787836174.0,42.80,2006.5,3,1.000,1.000,1.0000,100,False,267.56431,43.92,90.0,76.0,24.0
1787836174.5,43.92,2052.2,3,1.000,1.000,1.0000,100,False,267.57015,36.86,90.0,78.0,25.0
1787836175.0,45.15,2075.8,3,1.000,1.000,1.0000,100,False,267.57638,44.71,90.0,81.0,27.0
1787836175.5,45.87,2084.2,3,1.000,1.000,1.0000,100,False,267.58261,36.47,90.0,83.0,28.0
1787836176.0,46.69,2113.2,3,1.000,1.000,1.0000,100,False,267.58884,43.92,90.0,84.0,28.0
1787836176.5,47.67,2139.8,3,1.000,1.000,1.0000,100,False,267.59546,40.39,89.0,85.0,29.0
1787836177.0,48.46,2167.2,3,1.000,1.000,1.0000,100,False,267.60208,43.92,89.0,86.0,30.0
1787836177.5,49.51,2208.2,3,1.000,1.000,1.0000,100,False,267.60870,42.75,89.0,86.0,31.0
1787836178.0,50.36,2246.5,3,1.000,1.000,1.0000,100,False,267.61571,39.22,89.0,87.0,32.0
1787836178.5,51.36,2272.8,3,1.000,1.000,1.0000,100,False,267.62350,39.22,89.0,87.0,32.0
1787836179.0,52.27,2303.2,3,1.000,1.000,1.0000,100,False,267.63051,38.04,89.0,87.0,33.0
1787836179.5,53.32,2346.8,3,1.000,1.000,1.0000,100,False,267.63791,47.06,89.0,87.0,34.0
1787836180.0,54.47,2381.8,3,1.000,1.000,1.0000,100,False,267.64531,35.69,89.0,87.0,34.0
1787836180.5,55.21,2410.2,3,1.000,1.000,1.0000,100,False,267.65309,44.71,89.0,87.0,35.0
1787836181.0,56.37,2442.5,3,1.000,1.000,1.0000,100,False,267.66205,33.33,89.0,87.0,35.0
1787836181.5,57.25,2477.2,3,1.000,1.000,1.0000,100,False,267.66984,49.41,89.0,87.0,36.0
1787836182.0,58.23,2514.2,3,1.000,1.000,1.0000,100,False,267.67801,38.04,89.0,87.0,36.0
1787836182.5,59.16,2542.5,3,1.000,1.000,1.0000,100,False,267.68619,44.71,89.0,87.0,36.0
1787836183.0,60.10,2612.8,3,1.000,1.000,1.0000,100,False,267.69437,39.22,89.0,86.0,37.0
1787836183.5,61.31,2649.0,3,1.000,1.000,1.0000,100,False,267.70255,47.45,89.0,85.0,37.0
1787836184.0,62.41,2691.2,3,1.000,1.000,1.0000,100,False,267.71111,42.75,89.0,84.0,37.0
1787836184.5,62.73,2525.0,3,1.000,1.000,1.0000,100,False,267.72085,39.22,89.0,51.0,14.0
1787836185.0,62.70,2535.5,3,1.000,1.000,1.0000,100,False,267.72941,41.57,89.0,46.0,16.0
1787836185.5,62.96,2457.8,3,1.000,1.000,1.0000,100,False,267.73798,39.22,89.0,42.0,2.0
1787836186.0,62.16,2332.5,4,1.000,0.726,1.3774,72.6,False,267.74655,44.71,89.0,23.0,1.0
1787836186.5,61.61,2129.2,4,0.920,0.726,1.2672,78.91304347826087,False,267.75511,34.12,89.0,21.0,1.0
1787836187.0,61.23,1688.8,4,0.730,0.726,1.0055,99.45205479452055,False,267.76368,41.57,89.0,21.0,1.0
1787836187.5,60.60,1694.2,4,0.720,0.726,0.9917,100,False,267.77225,35.69,89.0,25.0,6.0
1787836188.0,60.32,1756.8,4,0.730,0.726,1.0055,99.45205479452055,False,267.78042,44.71,89.0,34.0,9.0
1787836188.6,60.05,1775.5,4,0.730,0.726,1.0055,99.45205479452055,False,267.78860,33.33,89.0,40.0,10.0
1787836189.1,59.96,1783.2,4,0.730,0.726,1.0055,99.45205479452055,False,267.79717,38.04,89.0,43.0,10.0
1787836189.6,59.64,1790.2,4,0.730,0.726,1.0055,99.45205479452055,False,267.80534,35.69,89.0,45.0,11.0
1787836190.1,59.67,1758.0,4,0.730,0.726,1.0055,99.45205479452055,True,267.81352,42.75,89.0,47.0,12.0
1787836190.6,59.58,1676.5,4,0.720,0.726,0.9917,100,True,267.82248,39.22,89.0,52.0,12.0
1787836191.1,59.58,1673.8,4,0.730,0.726,1.0055,99.45205479452055,True,267.83065,38.04,89.0,54.0,13.0
1787836191.6,59.75,1677.2,4,0.730,0.726,1.0055,99.45205479452055,True,267.83883,36.86,89.0,56.0,13.0
1787836192.1,59.75,1678.8,4,0.720,0.726,0.9917,100,True,267.84740,38.04,89.0,57.0,14.0
1787836192.6,59.73,1680.2,4,0.720,0.726,0.9917,100,True,267.85557,42.75,89.0,59.0,14.0
1787836193.1,60.09,1686.5,4,0.730,0.726,1.0055,99.45205479452055,True,267.86375,39.22,89.0,60.0,14.0
1787836193.6,60.17,1693.2,4,0.730,0.726,1.0055,99.45205479452055,True,267.87193,35.69,89.0,63.0,15.0
1787836194.1,60.47,1696.0,4,0.730,0.726,1.0055,99.45205479452055,True,267.88050,38.04,89.0,64.0,15.0
1787836194.6,60.60,1699.8,4,0.720,0.726,0.9917,100,True,267.88867,42.75,89.0,65.0,16.0
1787836195.1,60.77,1707.2,4,0.720,0.726,0.9917,100,True,267.89724,40.39,89.0,66.0,16.0
1787836195.6,60.91,1715.2,4,0.730,0.726,1.0055,99.45205479452055,True,267.90542,41.57,89.0,66.0,16.0
1787836196.1,61.47,1721.8,4,0.730,0.726,1.0055,99.45205479452055,True,267.91398,38.04,89.0,66.0,16.0
1787836196.6,61.61,1726.8,4,0.730,0.726,1.0055,99.45205479452055,True,267.92333,41.57,89.0,67.0,16.0
1787836197.1,62.02,1737.5,4,0.720,0.726,0.9917,100,True,267.93345,42.75,89.0,67.0,16.0
1787836197.6,62.20,1734.0,4,0.730,0.726,1.0055,99.45205479452055,True,267.94202,42.75,89.0,64.0,1.0
1787836198.1,61.65,1719.2,4,0.720,0.726,0.9917,100,True,267.95059,38.04,89.0,28.0,1.0
1787836198.6,60.93,1710.8,4,0.730,0.726,1.0055,99.45205479452055,True,267.95915,36.86,89.0,21.0,1.0
1787836199.1,60.40,1688.5,4,0.730,0.726,1.0055,99.45205479452055,True,267.96733,40.39,89.0,21.0,1.0
1787836199.6,59.66,1667.2,4,0.720,0.726,0.9917,100,True,267.97551,39.22,89.0,21.0,1.0
1787836200.1,58.68,1673.2,4,0.730,0.726,1.0055,99.45205479452055,True,267.98368,40.39,89.0,22.0,2.0
1787836200.6,58.48,1724.0,4,0.730,0.726,1.0055,99.45205479452055,True,267.99186,35.69,89.0,33.0,11.0
1787836201.1,58.25,1757.8,4,0.730,0.726,1.0055,99.45205479452055,True,268.00004,40.39,89.0,44.0,12.0
1787836201.6,58.38,1770.8,4,0.720,0.726,0.9917,100,True,268.00821,41.57,89.0,48.0,12.0
1787836202.1,58.06,1778.8,4,0.730,0.726,1.0055,99.45205479452055,True,268.01600,43.92,89.0,49.0,12.0
