t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load
1788079856.9,0.00,716.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110000,146.24662,51.76,1.172,7.30,81.0,44.0,0.0
1788079857.2,0.00,717.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110000,146.24662,52.94,1.146,7.30,81.0,44.0,0.0
1788079857.4,0.00,718.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110000,146.24662,51.76,1.159,7.30,81.0,44.0,0.0
1788079857.6,0.00,716.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110000,146.24662,52.94,1.159,7.30,81.0,44.0,0.0
1788079857.8,0.00,715.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110000,146.24662,52.94,1.146,7.30,81.0,44.0,0.0
1788079858.0,0.00,714.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110000,146.24662,52.55,1.121,7.30,81.0,44.0,0.0
1788079858.2,0.00,715.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110000,146.24662,52.94,1.146,7.30,81.0,44.0,0.0
1788079858.4,0.00,713.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,110000,146.24662,51.76,1.146,7.30,81.0,44.0,0.0
1788079858.6,0.00,715.2,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,52.94,1.104,7.30,81.0,44.0,0.0
1788079858.8,0.00,716.2,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,51.76,1.159,7.30,81.0,44.0,0.0
1788079859.0,0.00,715.5,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,52.55,1.104,7.30,81.0,44.0,0.0
1788079859.2,0.00,715.2,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,51.76,1.121,7.30,81.0,43.0,0.0
1788079859.4,0.00,717.2,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,52.94,1.091,7.30,81.0,43.0,0.0
1788079859.6,0.00,717.0,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,52.94,1.104,7.30,81.0,43.0,0.0
1788079859.8,0.00,713.8,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,52.94,1.146,7.30,81.0,43.0,0.0
1788079860.0,0.00,713.2,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,52.55,1.146,7.30,81.0,43.0,0.0
1788079860.2,0.00,713.8,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,52.55,1.121,7.30,81.0,43.0,0.0
1788079860.4,0.00,715.8,0,0.260,0.000,0.0000,0,False,False,P,False,70.0,0.00,110000,146.24662,52.94,1.133,7.30,81.0,43.0,0.0
1788079860.6,0.00,715.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.104,7.30,81.0,43.0,0.0
1788079860.8,0.00,714.0,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.55,1.146,7.30,81.0,43.0,0.0
1788079861.0,0.00,714.2,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.104,7.30,81.0,43.0,0.0
1788079861.2,0.00,715.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.091,7.30,81.0,43.0,0.0
1788079861.4,0.00,714.2,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.146,7.30,81.0,43.0,0.0
1788079861.6,0.00,714.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.55,1.146,7.30,81.0,43.0,0.0
1788079861.8,0.00,714.0,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.133,7.30,81.0,43.0,0.0
1788079862.0,0.00,713.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.104,7.30,81.0,43.0,0.0
1788079862.2,0.00,714.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.146,7.30,81.0,43.0,0.0
1788079862.4,0.00,715.0,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.133,7.30,81.0,43.0,0.0
1788079862.6,0.00,714.2,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.55,1.091,7.30,81.0,43.0,0.0
1788079862.8,0.00,714.8,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.104,7.30,81.0,43.0,0.0
1788079863.0,0.00,713.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.104,7.30,81.0,43.0,0.0
1788079863.2,0.00,712.0,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.104,7.30,81.0,43.0,0.0
1788079863.4,0.00,711.0,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.121,7.30,81.0,43.0,0.0
1788079863.6,0.00,711.8,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.55,1.133,7.30,81.0,43.0,0.0
1788079863.9,0.00,712.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.104,7.30,81.0,43.0,0.0
1788079864.1,0.00,711.2,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.091,7.30,81.0,43.0,0.0
1788079864.3,0.00,709.2,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.133,7.30,81.0,43.0,0.0
1788079864.5,0.00,709.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.133,7.30,81.0,43.0,0.0
1788079864.7,0.00,711.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.104,7.30,81.0,43.0,0.0
1788079864.9,0.00,709.2,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.091,7.30,81.0,43.0,0.0
1788079865.1,0.00,709.8,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.55,1.091,7.30,81.0,43.0,0.0
1788079865.3,0.00,707.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.121,7.30,81.0,43.0,0.0
1788079865.5,0.00,708.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.091,7.30,81.0,43.0,0.0
1788079865.7,0.00,710.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.94,1.091,7.30,81.0,43.0,0.0
1788079865.9,0.00,708.0,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.121,7.30,81.0,43.0,0.0
1788079866.1,0.00,705.8,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,52.55,1.104,7.30,81.0,43.0,0.0
1788079866.3,0.00,702.8,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.091,7.30,81.0,43.0,0.0
1788079866.5,0.00,706.0,0,0.260,0.000,0.0000,0,False,False,P,False,71.0,0.00,110000,146.24662,51.76,1.121,7.30,81.0,43.0,0.0
1788079866.7,0.00,706.8,0,0.260,0.000,0.0000,0,False,False,P,False,71.9,0.00,110000,146.24662,52.94,1.121,7.30,81.0,43.0,0.0
1788079866.9,0.00,702.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.9,0.00,110000,146.24662,52.94,1.121,7.30,81.0,43.0,0.0
1788079867.1,0.00,699.8,0,0.260,0.000,0.0000,0,False,False,P,False,71.9,0.00,110000,146.24662,51.76,1.091,7.30,81.0,43.0,0.0
1788079867.3,0.00,698.8,0,0.260,0.000,0.0000,0,False,False,P,False,71.9,0.00,110000,146.24662,52.55,1.078,7.30,81.0,43.0,0.0
1788079867.5,0.00,698.5,0,0.260,0.000,0.0000,0,False,False,P,False,71.9,0.00,110000,146.24662,52.94,1.091,7.30,81.0,43.0,0.0
