t,speed,rpm,gear,ratio,mech,slip,tcc,locked,hold,range,shifting,atf,volt,odo,trip_km,fuel_pt,rate_lh,eco,coolant,map,load
1787978368.2,0.00,843.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.18,1.312,9.02,61.0,41.0,0.0
1787978368.4,0.00,843.5,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.96,1.312,9.02,61.0,41.0,0.0
1787978368.6,0.00,842.8,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.96,1.329,9.02,61.0,41.0,0.0
1787978368.8,0.00,842.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.57,1.312,9.02,61.0,41.0,0.0
1787978369.0,0.00,845.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.18,1.299,9.02,61.0,41.0,0.0
1787978369.2,0.00,845.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.18,1.312,9.02,61.0,41.0,0.0
1787978369.4,0.00,846.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.57,1.312,9.02,61.0,41.0,0.0
1787978369.6,0.00,846.2,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.96,1.329,9.02,61.0,41.0,0.0
1787978369.8,0.00,844.0,0,0.260,0.000,0.0000,0,False,False,P,False,0.0,0.00,109600,54.59312,81.18,1.329,9.02,61.0,41.0,0.0
1787978370.0,0.00,844.2,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.96,1.329,9.02,61.0,41.0,0.0
1787978370.2,0.00,842.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.57,1.299,9.02,61.0,41.0,0.0
1787978370.4,0.00,840.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.329,9.02,61.0,41.0,0.0
1787978370.7,0.00,841.5,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.96,1.299,9.02,61.0,41.0,0.0
1787978370.9,0.00,841.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.299,9.02,61.0,41.0,0.0
1787978371.1,0.00,841.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.57,1.299,9.02,61.0,41.0,0.0
1787978371.3,0.00,837.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.96,1.341,9.02,61.0,41.0,0.0
1787978371.5,0.00,839.2,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.329,9.02,61.0,41.0,0.0
1787978371.7,0.00,837.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.57,1.312,9.02,61.0,41.0,0.0
1787978371.9,0.00,836.5,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.286,9.02,61.0,41.0,0.0
1787978372.1,0.00,838.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.299,9.02,61.0,41.0,0.0
1787978372.3,0.00,838.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.312,9.02,61.0,41.0,0.0
1787978372.5,0.00,840.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.96,1.341,9.02,61.0,41.0,0.0
1787978372.7,0.00,837.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.312,9.02,61.0,41.0,0.0
1787978372.9,0.00,838.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.96,1.329,9.02,61.0,41.0,0.0
1787978373.1,0.00,838.2,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.312,9.02,61.0,41.0,0.0
1787978373.3,0.00,838.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.57,1.312,9.02,61.0,41.0,0.0
1787978373.5,0.00,838.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.312,9.02,61.0,41.0,0.0
1787978373.7,0.00,834.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.299,9.02,61.0,41.0,0.0
1787978373.9,0.00,834.5,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.96,1.329,9.02,61.0,41.0,0.0
1787978374.1,0.00,835.2,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.96,1.312,9.02,61.0,41.0,0.0
1787978374.3,0.00,835.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.57,1.312,9.02,61.0,41.0,0.0
1787978374.5,0.00,837.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.299,9.02,61.0,41.0,0.0
1787978374.7,0.00,837.2,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.18,1.341,9.02,61.0,41.0,0.0
1787978374.9,0.00,839.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,0.00,109600,54.59312,81.96,1.312,9.02,61.0,41.0,0.0
1787978375.1,0.00,839.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.96,1.312,9.02,61.0,41.0,0.0
1787978375.3,0.00,840.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.57,1.329,9.02,62.0,41.0,0.0
1787978375.5,0.00,836.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.18,1.312,9.02,62.0,41.0,0.0
1787978375.7,0.00,837.5,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,82.35,1.329,9.02,62.0,41.0,0.0
1787978375.9,0.00,840.5,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.57,1.312,9.02,62.0,41.0,0.0
1787978376.1,0.00,840.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.18,1.312,9.02,62.0,41.0,0.0
1787978376.3,0.00,842.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.57,1.329,9.02,62.0,41.0,0.0
1787978376.5,0.00,842.2,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.18,1.299,9.02,62.0,41.0,0.0
1787978376.7,0.00,843.0,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.57,1.312,9.02,62.0,41.0,0.0
1787978376.9,0.00,835.5,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,82.35,1.329,9.02,62.0,41.0,0.0
1787978377.1,0.00,825.2,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,82.35,1.358,9.02,62.0,41.0,0.0
1787978377.3,0.00,830.5,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.57,1.358,9.02,62.0,42.0,0.0
1787978377.5,0.00,833.8,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.96,1.358,9.02,62.0,42.0,0.0
1787978377.7,0.00,837.5,0,0.260,0.000,0.0000,0,False,False,P,False,52.3,13.71,109600,54.59312,81.96,1.388,9.02,62.0,42.0,0.0
