t,pid,b1,b2,coolant,speed
1788096871.96,0000,190,63,0,0.0
1788096871.98,010B,44,0,0,0.0
1788096871.99,0002,0,0,0,0.0
1788096872.02,0003,2,0,88,0.0
1788096872.03,0110,1,27,88,0.0
1788096872.06,0005,128,0,88,0.0
1788096872.08,010B,44,0,88,0.0
1788096872.09,0006,136,0,88,0.0
1788096872.12,0007,128,0,88,0.0
1788096872.13,0110,1,30,88,0.0
1788096872.15,000B,44,0,88,0.0
1788096872.18,010B,44,0,88,0.0
1788096872.18,000C,11,233,88,0.0
1788096872.22,000D,0,0,88,0.0
1788096872.23,0110,1,24,88,0.0
1788096872.25,000E,139,0,88,0.0
1788096872.28,010B,45,0,88,0.0
1788096872.29,000F,111,0,88,0.0
1788096872.32,0010,1,30,88,0.0
1788096872.33,0110,1,30,88,0.0
1788096872.35,0011,30,0,88,0.0
1788096872.38,0013,1,0,88,0.0
1788096872.42,001C,10,0,88,0.0
1788096872.43,0110,1,24,88,0.0
1788096872.45,001F,0,36,88,0.0
1788096872.48,0020,128,21,88,0.0
1788096872.51,0021,0,0,88,0.0
1788096872.53,0110,1,33,88,0.0
1788096872.54,002C,0,0,88,0.0
1788096872.58,002E,0,0,88,0.0
1788096872.58,010B,45,0,88,0.0
1788096872.61,0030,255,0,88,0.0
1788096872.63,0110,1,33,88,0.0
1788096872.64,003C,21,56,88,0.0
1788096872.67,0040,104,0,88,0.0
1788096872.68,010B,45,0,88,0.0
1788096872.70,0042,52,155,88,0.0
1788096872.73,0110,1,33,88,0.0
1788096872.74,0043,0,72,88,0.0
1788096872.77,0200,0,0,88,0.0
1788096872.78,010B,45,0,88,0.0
1788096872.80,0202,0,0,88,0.0
1788096872.83,0110,1,24,88,0.0
1788096872.83,0900,6,89,88,0.0
1788096872.86,0968,0,0,88,0.0
1788096872.88,010B,45,0,88,0.0
1788096872.90,096E,11,184,88,0.0
1788096872.93,097C,107,231,88,0.0
1788096872.96,098E,0,0,88,0.0
1788096872.98,010B,45,0,88,0.0
1788096872.99,1101,1,0,88,0.0
1788096873.02,1103,12,0,88,0.0
1788096873.03,0110,1,33,88,0.0
1788096873.06,1104,1,0,88,0.0
1788096873.08,010B,45,0,88,0.0
1788096873.10,114A,34,128,88,0.0
1788096873.13,114D,36,64,88,0.0
1788096873.13,0110,1,33,88,0.0
1788096873.16,1153,62,142,88,0.0
1788096873.18,010B,45,0,88,0.0
1788096873.19,1154,29,192,88,0.0
