t,pid,b1,b2,coolant,speed
1788072628.83,0000,190,63,0,83.6
1788072628.86,0002,0,0,93,83.6
1788072628.87,010B,70,0,93,83.6
1788072628.89,0003,2,0,93,83.6
1788072628.92,0110,6,24,93,83.6
1788072628.92,0005,133,0,93,83.6
1788072628.96,0006,126,0,93,83.7
1788072628.96,010B,71,0,93,83.7
1788072628.99,0007,127,0,93,83.8
1788072629.01,0110,6,14,93,83.7
1788072629.02,000B,71,0,93,83.7
1788072629.05,000C,36,167,93,83.7
1788072629.06,010B,71,0,93,83.7
1788072629.08,000D,85,0,93,83.9
1788072629.12,0110,6,14,93,83.8
1788072629.12,000E,181,0,93,83.8
1788072629.16,000F,94,0,93,83.8
1788072629.16,010B,71,0,93,83.8
1788072629.19,0010,6,56,93,83.7
1788072629.21,0110,6,24,93,83.6
1788072629.22,0011,47,0,93,83.6
1788072629.25,0013,1,0,93,83.9
1788072629.27,010B,72,0,93,83.9
1788072629.28,001C,10,0,93,83.8
1788072629.32,001F,1,124,93,83.7
1788072629.35,0020,128,21,93,83.6
1788072629.36,010B,72,0,93,83.6
1788072629.38,0021,0,0,93,84.0
1788072629.41,002C,88,0,93,83.8
1788072629.41,0110,6,78,93,83.8
1788072629.42,17B3,143,0,93,83.8
1788072629.44,002E,251,0,93,83.9
1788072629.46,010B,72,0,93,83.8
1788072629.47,0030,255,0,93,83.6
1788072629.51,003C,36,4,93,83.8
1788072629.51,0110,6,78,93,83.8
1788072629.54,0040,104,0,93,83.8
1788072629.56,010B,72,0,93,83.9
1788072629.57,0042,53,29,93,83.9
1788072629.60,0043,0,129,93,83.8
1788072629.62,0110,6,46,93,83.8
1788072629.63,0200,0,0,93,83.7
1788072629.67,010B,73,0,93,83.7
1788072629.67,0202,0,0,93,83.7
1788072629.71,0900,8,122,93,83.9
1788072629.71,0110,6,46,93,83.9
1788072629.74,0968,0,0,93,83.8
1788072629.77,096E,11,184,93,83.8
1788072629.80,097C,109,148,93,83.9
1788072629.81,0110,6,67,93,83.9
1788072629.83,098E,0,18,93,83.9
