t,pid,b1,b2,coolant,speed
1787958833.70,0000,190,63,0,0.0
1787958833.73,0002,0,0,0,0.0
1787958833.76,0003,2,0,0,0.0
1787958833.78,0110,1,8,0,0.0
1787958833.79,0005,130,0,90,0.0
1787958833.82,0006,136,0,90,0.0
1787958833.83,010B,43,0,90,0.0
1787958833.86,0007,124,0,90,0.0
1787958833.88,0110,0,254,90,0.0
1787958833.89,000B,43,0,90,0.0
1787958833.92,000C,11,35,90,0.0
1787958833.93,010B,43,0,90,0.0
1787958833.95,000D,0,0,90,0.0
1787958833.98,0110,1,1,90,0.0
1787958833.99,000E,140,0,90,0.0
1787958834.02,000F,104,0,90,0.0
1787958834.02,010B,43,0,90,0.0
1787958834.06,0010,0,254,90,0.0
1787958834.08,0110,1,4,90,0.0
1787958834.09,0011,30,0,90,0.0
1787958834.12,0013,1,0,90,0.0
1787958834.13,010B,43,0,90,0.0
1787958834.15,001C,10,0,90,0.0
1787958834.18,0110,0,251,90,0.0
1787958834.18,001F,0,36,90,0.0
1787958834.22,0020,128,21,90,0.0
1787958834.23,010B,43,0,90,0.0
1787958834.25,0021,0,0,90,0.0
1787958834.28,002C,0,0,90,0.0
1787958834.31,002E,0,0,90,0.0
1787958834.33,010B,43,0,90,0.0
1787958834.34,0030,255,0,90,0.0
1787958834.38,003C,23,84,90,0.0
1787958834.41,0040,104,0,90,0.0
1787958834.43,010B,43,0,90,0.0
1787958834.44,0042,52,227,90,0.0
1787958834.47,0043,0,70,90,0.0
1787958834.48,0110,1,1,90,0.0
1787958834.50,0200,0,0,90,0.0
1787958834.53,010B,43,0,90,0.0
1787958834.54,0202,0,0,90,0.0
1787958834.57,0900,6,49,90,0.0
1787958834.58,0110,0,254,90,0.0
1787958834.60,0968,0,0,90,0.0
1787958834.63,010B,43,0,90,0.0
1787958834.63,096E,10,240,90,0.0
1787958834.67,097C,108,125,90,0.0
1787958834.68,0110,0,251,90,0.0
1787958834.70,098E,0,0,90,0.0
1787958834.73,010B,43,0,90,0.0
1787958834.74,1101,1,0,90,0.0
1787958834.77,1103,4,0,90,0.0
1787958834.78,0110,1,1,90,0.0
1787958834.80,1104,1,0,90,0.0
1787958834.83,114A,41,0,90,0.0
1787958834.86,114D,34,192,90,0.0
1787958834.88,0110,0,254,90,0.0
1787958834.90,1153,58,174,90,0.0
1787958834.93,1154,29,192,90,0.0
1787958834.96,1169,29,189,90,0.0
1787958834.98,0110,1,1,90,0.0
1787958834.99,1173,3,92,90,0.0
1787958835.02,1177,20,160,90,0.0
1787958835.03,010B,43,0,90,0.0
1787958835.06,1410,1,55,90,0.0
1787958835.08,0110,1,4,90,0.0
1787958835.09,1631,1,0,90,0.0
1787958835.12,1678,0,0,90,0.0
1787958835.13,010B,43,0,90,0.0
1787958835.15,1681,0,0,90,0.0
1787958835.18,0110,0,251,90,0.0
1787958835.18,17B3,133,0,90,0.0
1787958835.22,16CE,0,0,90,0.0
1787958835.23,010B,43,0,90,0.0
1787958835.25,16CF,13,110,90,0.0
1787958835.28,0110,1,1,90,0.0
1787958835.28,16E8,82,106,90,0.0
1787958835.31,16E9,0,117,90,0.0
1787958835.33,010B,43,0,90,0.0
1787958835.34,16F0,3,131,90,0.0
1787958835.38,1704,0,0,90,0.0
1787958835.41,1706,128,0,90,0.0
1787958835.43,010B,43,0,90,0.0
1787958835.44,1709,0,0,90,0.0
1787958835.48,1717,1,0,90,0.0
1787958835.51,1718,1,0,90,0.0
1787958835.53,010B,43,0,90,0.0
1787958835.54,1746,0,0,90,0.0
1787958835.58,1782,141,0,90,0.0
1787958835.61,1783,110,192,90,0.0
1787958835.63,010B,43,0,90,0.0
1787958835.64,17A0,31,0,90,0.0
1787958835.67,17A6,0,0,90,0.0
1787958835.68,0110,0,254,90,0.0
1787958835.70,17B0,18,0,90,0.0
1787958835.73,010B,43,0,90,0.0
1787958835.74,17B1,32,0,90,0.0
1787958835.77,17B2,4,0,90,0.0
1787958835.78,0110,0,254,90,0.0
1787958835.80,17B3,133,0,90,0.0
1787958835.83,010B,43,0,90,0.0
1787958835.83,17B5,80,0,90,0.0
1787958835.86,17B6,0,0,90,0.0
1787958835.88,0110,1,8,90,0.0
1787958835.90,17B8,239,0,90,0.0
1787958835.93,17BA,0,0,90,0.0
1787958835.96,17BB,0,0,90,0.0
1787958835.98,0110,1,1,90,0.0
1787958835.99,17BC,0,0,90,0.0
1787958836.02,17BD,56,0,90,0.0
1787958836.03,010B,43,0,90,0.0
1787958836.06,17BE,0,0,90,0.0
1787958836.08,0110,0,254,90,0.0
1787958836.10,17C1,234,0,90,0.0
1787958836.13,3201,23,112,90,0.0
1787958836.16,990A,48,0,90,0.0
1787958836.18,0110,1,4,90,0.0
1787958836.19,996E,12,88,90,0.0
1787958836.22,A211,0,0,90,0.0
1787958836.23,010B,43,0,90,0.0
1787958836.26,D100,129,0,90,0.0
1787958836.28,0110,1,1,90,0.0
1787958836.29,E21B,90,74,90,0.0
1787958836.32,E21C,49,56,90,0.0
1787958836.32,010B,43,0,90,0.0
1787958836.35,E21D,56,56,90,0.0
1787958836.38,0110,1,1,90,0.0
1787958836.38,E21E,70,0,90,0.0
1787958836.42,E6F0,90,74,90,0.0
1787958836.43,010B,43,0,90,0.0
1787958836.45,E6F2,240,0,90,0.0
1787958836.48,E6F3,240,0,90,0.0
1787958836.51,0105,130,0,90,0.0
1787958836.53,010B,43,0,90,0.0
1787958836.54,010F,104,0,90,0.0
1787958836.57,0110,1,1,90,0.0
1787958836.58,0110,1,1,90,0.0
1787958836.61,010B,43,0,90,0.0
1787958836.63,010B,43,0,90,0.0
1787958836.64,0106,135,0,90,0.0
1787958836.67,0107,124,0,90,0.0
1787958836.68,0110,1,1,90,0.0
1787958836.70,010E,141,0,90,0.0
1787958836.73,010B,43,0,90,0.0
1787958836.74,0142,52,223,90,0.0
1787958836.77,0000,190,63,90,0.0
1787958836.78,0110,0,251,90,0.0
1787958836.80,0002,0,0,90,0.0
1787958836.83,010B,43,0,90,0.0
1787958836.84,0003,2,0,90,0.0
1787958836.87,0005,130,0,90,0.0
1787958836.88,0110,1,1,90,0.0
1787958836.91,0006,135,0,90,0.0
1787958836.93,010B,43,0,90,0.0
1787958836.94,0007,124,0,90,0.0
