t,pid,b1,b2,coolant,speed
1787961875.37,0000,190,63,0,0.0
1787961875.40,0002,0,0,0,0.0
1787961875.43,0003,2,0,0,0.0
1787961875.45,0110,1,30,88,0.0
1787961875.47,0005,128,0,88,0.0
1787961875.50,0006,138,0,88,0.0
1787961875.50,010B,44,0,88,0.0
1787961875.53,0007,124,0,88,0.0
1787961875.55,0110,1,30,88,0.0
1787961875.56,000B,44,0,88,0.0
1787961875.59,000C,11,236,88,0.0
1787961875.60,010B,44,0,88,0.0
1787961875.63,000D,0,0,88,0.0
1787961875.65,0110,1,20,88,0.0
1787961875.67,000E,139,0,88,0.0
1787961875.70,000F,110,0,88,0.0
1787961875.70,010B,44,0,88,0.0
1787961875.73,0010,1,27,88,0.0
1787961875.75,0110,1,27,88,0.0
1787961875.76,0011,30,0,88,0.0
1787961875.79,0013,1,0,88,0.0
1787961875.80,010B,44,0,88,0.0
1787961875.83,001C,10,0,88,0.0
1787961875.86,001F,0,35,88,0.0
1787961875.89,0020,128,21,88,0.0
1787961875.90,010B,44,0,88,0.0
1787961875.92,0021,0,0,88,0.0
1787961875.95,002C,0,0,88,0.0
1787961875.99,002E,0,0,88,0.0
1787961876.00,010B,44,0,88,0.0
1787961876.02,0030,255,0,88,0.0
1787961876.05,003C,21,38,88,0.0
1787961876.05,0110,1,24,88,0.0
1787961876.08,0040,104,0,88,0.0
1787961876.10,010B,44,0,88,0.0
1787961876.12,0042,52,179,88,0.0
1787961876.15,0043,0,72,88,0.0
1787961876.15,0110,1,30,88,0.0
1787961876.18,0200,0,0,88,0.0
1787961876.20,010B,44,0,88,0.0
1787961876.21,0202,0,0,88,0.0
1787961876.24,0900,6,74,88,0.0
1787961876.25,0110,1,33,88,0.0
1787961876.27,0968,0,0,88,0.0
1787961876.30,010B,44,0,88,0.0
1787961876.31,096E,11,184,88,0.0
1787961876.34,097C,108,3,88,0.0
1787961876.35,0110,1,27,88,0.0
1787961876.37,098E,0,0,88,0.0
1787961876.40,1101,1,0,88,0.0
1787961876.43,1103,12,0,88,0.0
1787961876.45,0110,1,27,88,0.0
1787961876.47,1104,1,0,88,0.0
1787961876.50,114A,35,128,88,0.0
1787961876.50,010B,44,0,88,0.0
1787961876.53,114D,36,192,88,0.0
1787961876.55,0110,1,33,88,0.0
1787961876.57,1153,62,104,88,0.0
1787961876.60,1154,29,192,88,0.0
1787961876.63,1169,29,192,88,0.0
1787961876.65,0110,1,30,88,0.0
1787961876.67,1173,0,160,88,0.0
1787961876.70,1177,21,84,88,0.0
1787961876.70,010B,44,0,88,0.0
1787961876.73,1410,1,77,88,0.0
1787961876.75,0110,1,33,88,0.0
1787961876.76,1631,1,0,88,0.0
1787961876.79,1678,0,0,88,0.0
1787961876.80,010B,44,0,88,0.0
1787961876.83,1681,0,0,88,0.0
1787961876.85,0110,1,33,88,0.0
1787961876.86,17B3,127,0,88,0.0
1787961876.89,16CE,255,250,88,0.0
1787961876.90,010B,44,0,88,0.0
1787961876.92,16CF,13,134,88,0.0
1787961876.95,0110,1,27,88,0.0
1787961876.95,16E8,81,106,88,0.0
1787961876.99,16E9,0,117,88,0.0
1787961877.00,010B,44,0,88,0.0
1787961877.02,16F0,3,131,88,0.0
1787961877.06,1704,0,0,88,0.0
1787961877.09,1706,128,0,88,0.0
1787961877.10,010B,44,0,88,0.0
1787961877.12,1709,0,0,88,0.0
1787961877.15,1717,1,0,88,0.0
1787961877.19,1718,1,0,88,0.0
1787961877.20,010B,44,0,88,0.0
1787961877.22,1746,0,0,88,0.0
1787961877.25,1782,132,128,88,0.0
1787961877.25,0110,1,37,88,0.0
1787961877.28,1783,110,192,88,0.0
1787961877.30,010B,44,0,88,0.0
1787961877.31,17A0,31,0,88,0.0
1787961877.35,17A6,0,0,88,0.0
1787961877.35,0110,1,24,88,0.0
1787961877.38,17B0,20,0,88,0.0
1787961877.40,010B,44,0,88,0.0
1787961877.41,17B1,32,0,88,0.0
1787961877.44,17B2,4,0,88,0.0
1787961877.45,0110,1,33,88,0.0
1787961877.47,17B3,128,0,88,0.0
1787961877.50,010B,44,0,88,0.0
1787961877.51,17B5,80,0,88,0.0
1787961877.54,17B6,0,0,88,0.0
1787961877.55,0110,1,27,88,0.0
1787961877.57,17B8,239,0,88,0.0
1787961877.60,17BA,0,0,88,0.0
1787961877.63,17BB,0,0,88,0.0
1787961877.65,0110,1,27,88,0.0
1787961877.67,17BC,0,0,88,0.0
1787961877.71,17BD,64,0,88,0.0
1787961877.74,17BE,0,0,88,0.0
1787961877.75,0110,1,30,88,0.0
1787961877.77,17C1,234,0,88,0.0
1787961877.80,3201,23,112,88,0.0
1787961877.83,990A,51,0,88,0.0
1787961877.85,0110,1,27,88,0.0
1787961877.87,996E,11,164,88,0.0
1787961877.90,A211,0,0,88,0.0
1787961877.90,010B,44,0,88,0.0
1787961877.93,D100,129,0,88,0.0
1787961877.95,0110,1,30,88,0.0
1787961877.96,E21B,90,74,88,0.0
1787961877.99,E21C,49,56,88,0.0
1787961878.00,010B,44,0,88,0.0
1787961878.03,E21D,56,56,88,0.0
1787961878.05,0110,1,24,88,0.0
1787961878.06,E21E,70,0,88,0.0
1787961878.09,E6F0,90,74,88,0.0
1787961878.10,010B,44,0,88,0.0
1787961878.12,E6F2,240,0,88,0.0
1787961878.15,E6F3,240,0,88,0.0
1787961878.18,0105,128,0,88,0.0
1787961878.20,010B,44,0,88,0.0
1787961878.22,010F,110,0,88,0.0
1787961878.25,0110,1,24,88,0.0
1787961878.25,0110,1,24,88,0.0
1787961878.28,010B,44,0,88,0.0
1787961878.30,010B,44,0,88,0.0
1787961878.31,0106,137,0,88,0.0
1787961878.35,0107,124,0,88,0.0
1787961878.35,0110,1,27,88,0.0
1787961878.38,010E,139,0,88,0.0
1787961878.40,010B,44,0,88,0.0
1787961878.41,0142,52,189,88,0.0
1787961878.45,0000,190,63,88,0.0
1787961878.45,0110,1,27,88,0.0
1787961878.48,0002,0,0,88,0.0
1787961878.50,010B,44,0,88,0.0
1787961878.51,0003,2,0,88,0.0
1787961878.55,0005,128,0,88,0.0
1787961878.55,0110,1,24,88,0.0
1787961878.58,0006,137,0,88,0.0
1787961878.60,010B,44,0,88,0.0
1787961878.61,0007,124,0,88,0.0
1787961878.64,000B,44,0,88,0.0
1787961878.65,0110,1,30,88,0.0
1787961878.67,000C,11,219,88,0.0
1787961878.70,010B,44,0,88,0.0
1787961878.71,000D,0,0,88,0.0
1787961878.74,000E,141,0,88,0.0
1787961878.75,0110,1,30,88,0.0
1787961878.77,000F,110,0,88,0.0
1787961878.80,0010,1,24,88,0.0
1787961878.83,0011,30,0,88,0.0
1787961878.85,0110,1,20,88,0.0
1787961878.87,0013,1,0,88,0.0
1787961878.90,001C,10,0,88,0.0
1787961878.90,010B,44,0,88,0.0
1787961878.93,001F,0,38,88,0.0
1787961878.95,0110,1,27,88,0.0
1787961878.96,0020,128,21,88,0.0
1787961878.99,0021,0,0,88,0.0
1787961879.00,010B,44,0,88,0.0
1787961879.03,002C,0,0,88,0.0
1787961879.05,0110,1,33,88,0.0
1787961879.06,002E,0,0,88,0.0
1787961879.09,0030,255,0,88,0.0
1787961879.10,010B,44,0,88,0.0
1787961879.12,003C,21,40,88,0.0
1787961879.15,0110,1,27,88,0.0
1787961879.15,0040,104,0,88,0.0
1787961879.19,0042,52,181,88,0.0
1787961879.20,010B,44,0,88,0.0
1787961879.22,0043,0,72,88,0.0
1787961879.26,0200,0,0,88,0.0
1787961879.29,0202,0,0,88,0.0
1787961879.30,010B,44,0,88,0.0
1787961879.32,0900,6,69,88,0.0
1787961879.35,0968,0,0,88,0.0
1787961879.39,096E,11,184,88,0.0
1787961879.40,010B,44,0,88,0.0
1787961879.42,097C,108,4,88,0.0
1787961879.45,098E,0,0,88,0.0
1787961879.45,0110,1,27,88,0.0
1787961879.48,1101,1,0,88,0.0
1787961879.50,010B,44,0,88,0.0
1787961879.51,1103,12,0,88,0.0
1787961879.55,1104,1,0,88,0.0
1787961879.55,0110,1,11,88,0.0
1787961879.58,114A,35,192,88,0.0
1787961879.60,010B,44,0,88,0.0
1787961879.61,114D,36,192,88,0.0
1787961879.64,1153,62,158,88,0.0
1787961879.65,0110,1,27,88,0.0
1787961879.67,1154,29,192,88,0.0
1787961879.70,010B,44,0,88,0.0
1787961879.71,1169,29,192,88,0.0
1787961879.74,1173,0,130,88,0.0
1787961879.75,0110,1,27,88,0.0
1787961879.77,1177,21,64,88,0.0
1787961879.80,010B,44,0,88,0.0
1787961879.83,1631,1,0,88,0.0
1787961879.85,0110,1,24,88,0.0
1787961879.85,0142,52,193,88,0.0
1787961879.87,1678,0,0,88,0.0
1787961879.91,1681,0,0,88,0.0
1787961879.94,16CD,0,0,88,0.0
1787961879.95,0110,1,24,88,0.0
1787961879.97,16CE,255,250,88,0.0
1787961880.00,16CF,13,127,88,0.0
1787961880.03,16E8,75,108,88,0.0
1787961880.05,0110,1,37,88,0.0
1787961880.07,16E9,0,116,88,0.0
1787961880.11,16F0,3,131,88,0.0
1787961880.14,1704,0,0,88,0.0
1787961880.15,0110,1,27,88,0.0
1787961880.17,1706,128,0,88,0.0
1787961880.20,1709,0,0,88,0.0
1787961880.23,1717,1,0,88,0.0
1787961880.25,0110,1,27,88,0.0
1787961880.27,1718,1,0,88,0.0
1787961880.30,1746,0,0,88,0.0
1787961880.30,010B,44,0,88,0.0
1787961880.33,1782,132,128,88,0.0
1787961880.35,0110,1,30,88,0.0
1787961880.36,1783,110,192,88,0.0
1787961880.39,17A0,32,0,88,0.0
1787961880.40,010B,44,0,88,0.0
1787961880.43,17A6,0,0,88,0.0
1787961880.45,0110,1,27,88,0.0
1787961880.46,17B0,20,0,88,0.0
1787961880.49,17B1,32,0,88,0.0
1787961880.50,010B,44,0,88,0.0
1787961880.53,17B2,4,0,88,0.0
1787961880.55,0110,1,27,88,0.0
1787961880.56,17B3,128,0,88,0.0
1787961880.59,17B5,80,0,88,0.0
1787961880.60,010B,44,0,88,0.0
1787961880.63,17B6,0,0,88,0.0
1787961880.65,0110,1,24,88,0.0
1787961880.66,17B8,239,0,88,0.0
1787961880.69,17BA,0,0,88,0.0
1787961880.70,010B,44,0,88,0.0
1787961880.72,17BB,0,0,88,0.0
1787961880.75,17BC,0,0,88,0.0
1787961880.79,17BD,64,0,88,0.0
1787961880.80,010B,43,0,88,0.0
1787961880.83,17BE,0,0,88,0.0
1787961880.86,17C1,234,0,88,0.0
1787961880.89,3201,23,112,88,0.0
1787961880.90,010B,44,0,88,0.0
1787961880.92,990A,50,0,88,0.0
1787961880.95,996E,11,224,88,0.0
1787961880.99,A211,0,0,88,0.0
1787961881.00,010B,43,0,88,0.0
1787961881.02,D100,129,0,88,0.0
1787961881.05,E21B,90,74,88,0.0
1787961881.05,0110,1,33,88,0.0
1787961881.08,E21C,49,56,88,0.0
1787961881.10,010B,44,0,88,0.0
1787961881.11,E21D,56,56,88,0.0
1787961881.15,E21E,70,0,88,0.0
1787961881.15,0110,1,30,88,0.0
1787961881.18,E6F0,90,74,88,0.0
1787961881.20,010B,44,0,88,0.0
1787961881.21,E6F2,240,0,88,0.0
1787961881.24,E6F3,240,0,88,0.0
1787961881.25,0110,1,30,88,0.0
1787961881.27,0105,128,0,88,0.0
1787961881.30,010B,43,0,88,0.0
1787961881.30,010F,109,0,88,0.0
1787961881.34,0110,1,30,88,0.0
1787961881.35,0110,1,27,88,0.0
1787961881.37,010B,44,0,88,0.0
1787961881.40,0106,137,0,88,0.0
1787961881.40,010B,44,0,88,0.0
1787961881.43,0107,124,0,88,0.0
1787961881.45,0110,1,30,88,0.0
1787961881.47,010E,141,0,88,0.0
1787961881.50,0142,52,176,88,0.0
1787961881.50,010B,44,0,88,0.0
1787961881.54,0000,190,63,88,0.0
1787961881.55,0110,1,30,88,0.0
1787961881.57,0002,0,0,88,0.0
1787961881.60,0003,2,0,88,0.0
1787961881.63,0005,128,0,88,0.0
1787961881.65,0110,1,33,88,0.0
1787961881.67,0006,137,0,88,0.0
1787961881.70,0007,124,0,88,0.0
1787961881.70,010B,44,0,88,0.0
