t,pid,b1,b2,coolant,speed
1787950533.22,0000,190,63,0,0.0
1787950533.24,0110,1,14,0,0.0
1787950533.26,0002,0,0,78,0.0
1787950533.29,0003,2,0,78,0.0
1787950533.32,0005,118,0,78,0.0
1787950533.34,0110,1,14,78,0.0
1787950533.35,0006,143,0,78,0.0
1787950533.38,0007,127,0,78,0.0
1787950533.39,010B,43,0,78,0.0
1787950533.41,000B,43,0,78,0.0
1787950533.44,0110,1,14,78,0.0
1787950533.45,000C,11,81,78,0.0
1787950533.48,000D,0,0,78,0.0
1787950533.49,010B,43,0,78,0.0
1787950533.51,000E,139,0,78,0.0
1787950533.54,0110,1,17,78,0.0
1787950533.54,000F,102,0,78,0.0
1787950533.57,0010,1,17,78,0.0
1787950533.59,010B,43,0,78,0.0
1787950533.61,0011,30,0,78,0.0
1787950533.64,0013,1,0,78,0.0
1787950533.67,001C,10,0,78,0.0
1787950533.69,010B,43,0,78,0.0
1787950533.70,001F,0,36,78,0.0
1787950533.73,0020,128,21,78,0.0
1787950533.74,0110,1,11,78,0.0
1787950533.77,0021,0,0,78,0.0
1787950533.79,010B,43,0,78,0.0
1787950533.80,002C,0,0,78,0.0
1787950533.84,002E,0,0,78,0.0
1787950533.87,0030,255,0,78,0.0
1787950533.89,010B,43,0,78,0.0
1787950533.90,003C,21,189,78,0.0
1787950533.93,0040,104,0,78,0.0
1787950533.94,0110,1,8,78,0.0
1787950533.97,0042,53,6,78,0.0
1787950533.99,010B,43,0,78,0.0
1787950534.00,0043,0,71,78,0.0
1787950534.03,0200,0,0,78,0.0
1787950534.03,0110,1,14,78,0.0
1787950534.06,0202,0,0,78,0.0
1787950534.09,010B,43,0,78,0.0
1787950534.09,0900,6,54,78,0.0
1787950534.13,0968,0,0,78,0.0
1787950534.14,0110,1,11,78,0.0
1787950534.16,096E,11,33,78,0.0
1787950534.19,010B,43,0,78,0.0
1787950534.19,097C,108,186,78,0.0
1787950534.22,098E,0,0,78,0.0
1787950534.24,0110,1,17,78,0.0
1787950534.25,1101,1,0,78,0.0
1787950534.29,1103,4,0,78,0.0
1787950534.29,010B,43,0,78,0.0
1787950534.32,1104,1,0,78,0.0
1787950534.34,0110,1,8,78,0.0
1787950534.35,114A,43,192,78,0.0
1787950534.39,114D,46,64,78,0.0
1787950534.42,1153,59,226,78,0.0
1787950534.44,0110,1,8,78,0.0
1787950534.45,1154,29,128,78,0.0
1787950534.49,1169,29,163,78,0.0
1787950534.52,1173,2,128,78,0.0
1787950534.54,0110,1,11,78,0.0
1787950534.55,1177,20,200,78,0.0
1787950534.58,1410,1,84,78,0.0
1787950534.59,010B,43,0,78,0.0
1787950534.61,1631,1,0,78,0.0
1787950534.64,0110,1,8,78,0.0
1787950534.64,17B3,126,0,78,0.0
1787950534.65,1678,0,0,78,0.0
1787950534.68,1681,0,0,78,0.0
1787950534.69,010B,43,0,78,0.0
1787950534.71,16CD,0,0,78,0.0
1787950534.74,0110,1,14,78,0.0
1787950534.74,16CE,255,246,78,0.0
1787950534.78,16CF,13,103,78,0.0
1787950534.78,010B,43,0,78,0.0
1787950534.81,16E8,72,208,78,0.0
1787950534.84,0110,1,11,78,0.0
1787950534.85,16E9,0,116,78,0.0
1787950534.88,16F0,3,131,78,0.0
1787950534.89,010B,43,0,78,0.0
1787950534.91,1704,0,0,78,0.0
1787950534.94,1706,128,0,78,0.0
1787950534.97,1709,0,0,78,0.0
1787950534.99,010B,43,0,78,0.0
1787950535.01,1717,1,0,78,0.0
1787950535.04,1718,1,0,78,0.0
1787950535.07,1746,0,0,78,0.0
1787950535.09,010B,43,0,78,0.0
1787950535.10,1782,153,64,78,0.0
1787950535.13,1783,110,192,78,0.0
1787950535.14,0110,1,8,78,0.0
1787950535.17,17A0,32,0,78,0.0
1787950535.19,010B,43,0,78,0.0
1787950535.20,17A6,0,0,78,0.0
1787950535.23,17B0,19,0,78,0.0
1787950535.24,0110,1,14,78,0.0
1787950535.26,17B1,32,0,78,0.0
1787950535.29,010B,43,0,78,0.0
1787950535.29,17B2,4,0,78,0.0
1787950535.33,17B3,126,0,78,0.0
1787950535.34,0110,1,8,78,0.0
1787950535.36,17B5,80,0,78,0.0
1787950535.39,010B,43,0,78,0.0
1787950535.39,17B6,0,0,78,0.0
1787950535.42,17B8,239,0,78,0.0
1787950535.44,0110,1,11,78,0.0
1787950535.45,17BA,0,0,78,0.0
1787950535.49,17BB,0,0,78,0.0
1787950535.52,17BC,0,0,78,0.0
1787950535.54,0110,1,8,78,0.0
1787950535.55,17BD,66,0,78,0.0
1787950535.58,17BE,0,0,78,0.0
1787950535.59,010B,43,0,78,0.0
1787950535.62,17C1,234,0,78,0.0
1787950535.64,0110,1,8,78,0.0
1787950535.65,3201,23,112,78,0.0
1787950535.69,990A,59,0,78,0.0
1787950535.72,996E,9,196,78,0.0
1787950535.74,0110,1,14,78,0.0
1787950535.75,A211,0,0,78,0.0
1787950535.78,D100,129,0,78,0.0
1787950535.79,010B,43,0,78,0.0
1787950535.81,E21B,90,74,78,0.0
1787950535.84,0110,1,8,78,0.0
1787950535.85,E21C,49,56,78,0.0
1787950535.88,E21D,56,56,78,0.0
1787950535.89,010B,43,0,78,0.0
1787950535.91,E21E,70,0,78,0.0
1787950535.94,0110,1,8,78,0.0
1787950535.94,E6F0,90,74,78,0.0
1787950535.97,E6F2,240,0,78,0.0
1787950535.99,010B,43,0,78,0.0
1787950536.01,E6F3,240,0,78,0.0
1787950536.04,0110,1,4,78,0.0
1787950536.04,0105,118,0,78,0.0
1787950536.07,010F,102,0,78,0.0
1787950536.09,010B,43,0,78,0.0
1787950536.10,0110,1,4,78,0.0
1787950536.13,010B,43,0,78,0.0
1787950536.14,0110,1,1,78,0.0
1787950536.17,0106,139,0,78,0.0
1787950536.19,010B,43,0,78,0.0
1787950536.20,0107,127,0,78,0.0
1787950536.23,010E,141,0,78,0.0
1787950536.24,0110,1,8,78,0.0
1787950536.26,0142,53,8,79,0.0
1787950536.29,010B,43,0,79,0.0
1787950536.30,0000,190,63,79,0.0
1787950536.33,0002,0,0,79,0.0
1787950536.34,0110,1,1,79,0.0
1787950536.37,0003,2,0,78,0.0
1787950536.39,010B,43,0,78,0.0
1787950536.40,0005,118,0,78,0.0
1787950536.43,0006,139,0,78,0.0
1787950536.44,0110,1,11,78,0.0
1787950536.46,0007,127,0,78,0.0
1787950536.49,010B,43,0,78,0.0
1787950536.49,000B,43,0,78,0.0
1787950536.53,000C,11,68,78,0.0
1787950536.53,0110,1,11,78,0.0
1787950536.56,000D,0,0,78,0.0
1787950536.59,010B,43,0,78,0.0
1787950536.59,000E,140,0,78,0.0
1787950536.62,000F,102,0,78,0.0
1787950536.64,0110,1,1,78,0.0
1787950536.64,17B3,126,0,78,0.0
1787950536.66,0010,1,8,79,0.0
1787950536.69,010B,43,0,79,0.0
1787950536.69,0011,30,0,79,0.0
1787950536.73,0013,1,0,79,0.0
1787950536.74,0110,1,17,79,0.0
1787950536.76,001C,10,0,79,0.0
1787950536.79,001F,0,40,79,0.0
1787950536.82,0020,128,21,79,0.0
1787950536.84,0110,1,8,79,0.0
1787950536.85,0021,0,0,79,0.0
1787950536.89,002C,0,0,79,0.0
1787950536.89,010B,43,0,79,0.0
1787950536.92,002E,0,0,79,0.0
1787950536.94,0110,1,8,79,0.0
1787950536.95,0030,255,0,79,0.0
1787950536.98,003C,21,184,79,0.0
1787950536.99,010B,43,0,79,0.0
1787950537.01,0040,104,0,79,0.0
1787950537.04,0110,1,11,79,0.0
1787950537.05,0042,53,17,79,0.0
1787950537.08,0043,0,71,79,0.0
1787950537.09,010B,43,0,79,0.0
1787950537.11,0200,0,0,79,0.0
1787950537.14,0110,1,8,79,0.0
1787950537.14,0202,0,0,79,0.0
1787950537.17,0900,6,54,79,0.0
1787950537.19,010B,43,0,79,0.0
1787950537.21,0968,0,0,79,0.0
1787950537.24,0110,1,14,79,0.0
1787950537.24,096E,11,26,79,0.0
1787950537.28,097C,108,193,79,0.0
1787950537.29,010B,43,0,79,0.0
1787950537.31,098E,0,0,79,0.0
1787950537.34,1101,1,0,79,0.0
1787950537.37,1103,4,0,79,0.0
