t,pid,b1,b2,coolant,speed
1788070131.32,0000,190,63,0,0.0
1788070131.35,0002,0,0,92,0.0
1788070131.39,0003,2,0,92,0.0
1788070131.42,0005,132,0,92,0.0
1788070131.46,0006,137,0,92,0.0
1788070131.49,0007,130,0,92,0.0
1788070131.52,000B,47,0,92,0.0
1788070131.55,000C,11,184,92,0.0
1788070131.58,000D,0,0,92,0.0
1788070131.62,000E,145,0,92,0.0
1788070131.65,000F,110,0,92,0.0
1788070131.68,0010,1,47,92,0.0
1788070131.71,0011,30,0,92,0.0
1788070131.75,0013,1,0,92,0.0
1788070131.78,001C,10,0,92,0.0
1788070131.82,001F,0,24,92,0.0
1788070131.85,0020,128,21,92,0.0
1788070131.88,0021,0,0,92,0.0
1788070131.91,002C,0,0,92,0.0
1788070131.94,002E,0,0,92,0.0
1788070131.98,0030,255,0,92,0.0
1788070132.01,003C,26,94,92,0.0
1788070132.04,0040,104,0,92,0.0
1788070132.07,0042,52,169,92,0.0
1788070132.10,0043,0,78,92,0.0
1788070132.14,0200,0,0,92,0.0
1788070132.17,0202,0,0,92,0.0
1788070132.20,0900,6,139,92,0.0
1788070132.23,0968,0,0,92,0.0
1788070132.26,096E,11,184,92,0.0
1788070132.30,097C,107,252,92,0.0
1788070132.33,098E,0,0,92,0.0
1788070132.36,1101,1,0,92,0.0
1788070132.39,1103,12,0,92,0.0
1788070132.43,1104,1,0,92,0.0
