t,pid,b1,b2,coolant,speed
1787957169.68,0000,190,63,0,0.0
1787957169.71,0002,0,0,0,0.0
1787957169.74,0003,2,0,92,0.0
1787957169.78,0005,132,0,92,0.0
1787957169.81,0006,128,0,92,0.0
1787957169.84,0007,129,0,92,0.0
1787957169.87,000B,42,0,92,0.0
1787957169.90,000C,11,14,92,0.0
1787957169.94,000D,0,0,92,0.0
1787957169.97,000E,141,0,92,0.0
1787957170.00,000F,101,0,92,0.0
1787957170.03,0010,0,251,92,0.0
1787957170.06,0011,30,0,92,0.0
1787957170.10,0013,1,0,92,0.0
1787957170.13,001C,10,0,92,0.0
1787957170.16,001F,0,24,92,0.0
1787957170.19,0020,128,21,92,0.0
1787957170.22,0021,0,0,92,0.0
1787957170.26,002C,0,0,92,0.0
1787957170.29,002E,0,0,92,0.0
1787957170.32,0030,255,0,92,0.0
1787957170.35,003C,25,95,92,0.0
1787957170.38,0040,104,0,92,0.0
1787957170.42,0042,53,9,92,0.0
1787957170.46,0043,0,69,92,0.0
1787957170.49,0200,0,0,92,0.0
1787957170.52,0202,0,0,92,0.0
1787957170.55,0900,6,39,92,0.0
1787957170.58,0968,0,0,92,0.0
1787957170.62,096E,10,240,92,0.0
1787957170.65,097C,108,196,92,0.0
1787957170.68,098E,0,0,92,0.0
1787957170.71,1101,1,0,92,0.0
1787957170.74,1103,4,0,92,0.0
1787957170.78,1104,1,0,92,0.0
1787957170.81,114A,44,128,92,0.0
1787957170.84,114D,33,0,92,0.0
1787957170.87,1153,57,253,92,0.0
1787957170.90,1154,29,192,92,0.0
1787957170.94,1169,29,189,92,0.0
1787957170.97,1173,2,138,92,0.0
1787957171.00,1177,20,60,92,0.0
1787957171.03,1410,1,52,92,0.0
