t,pid,b1,b2,coolant,speed
1787960458.52,0000,190,63,0,0.0
1787960458.53,0110,0,171,0,0.0
1787960458.55,0002,0,0,93,0.0
1787960458.58,0003,2,0,93,0.0
1787960458.58,010B,30,0,93,0.0
1787960458.61,0005,133,0,93,0.0
1787960458.63,0110,0,173,93,0.0
1787960458.64,0006,127,0,93,0.0
1787960458.68,0007,125,0,93,0.0
1787960458.68,010B,30,0,93,0.0
1787960458.71,000B,30,0,93,0.0
1787960458.73,0110,0,168,93,0.0
1787960458.74,000C,11,48,93,0.0
1787960458.77,000D,0,0,93,0.0
1787960458.78,010B,30,0,93,0.0
1787960458.80,000E,142,0,93,0.0
1787960458.84,000F,100,0,93,0.0
1787960458.87,0010,0,171,93,0.0
1787960458.89,010B,30,0,93,0.0
1787960458.90,0011,30,0,93,0.0
1787960458.93,0013,1,0,93,0.0
1787960458.93,0110,0,173,93,0.0
1787960458.96,001C,10,0,93,0.0
1787960458.98,010B,30,0,93,0.0
1787960459.00,001F,0,36,93,0.0
1787960459.03,0020,128,21,93,0.0
1787960459.03,0110,0,171,93,0.0
1787960459.06,0021,0,0,93,0.0
1787960459.08,010B,30,0,93,0.0
1787960459.09,002C,0,0,93,0.0
1787960459.12,002E,0,0,93,0.0
1787960459.13,0110,0,173,93,0.0
1787960459.16,0030,255,0,93,0.0
1787960459.18,010B,30,0,93,0.0
1787960459.20,003C,23,235,93,0.0
1787960459.23,0040,104,0,93,0.0
1787960459.23,0110,0,173,93,0.0
1787960459.26,0042,53,37,93,0.0
1787960459.28,010B,30,0,93,0.0
1787960459.29,0043,0,47,93,0.0
1787960459.32,0200,0,0,93,0.0
1787960459.33,0110,0,168,93,0.0
1787960459.36,0202,0,0,93,0.0
1787960459.39,0900,5,70,93,0.0
1787960459.42,0968,0,0,93,0.0
1787960459.43,0110,0,173,93,0.0
1787960459.45,096E,10,240,93,0.0
1787960459.48,097C,108,251,93,0.0
1787960459.52,098E,0,0,93,0.0
1787960459.53,0110,0,168,93,0.0
1787960459.55,1101,0,0,93,0.0
1787960459.58,1103,0,0,93,0.0
1787960459.58,010B,30,0,93,0.0
1787960459.62,1104,0,0,93,0.0
1787960459.63,0110,0,173,93,0.0
1787960459.65,114A,46,0,93,0.0
1787960459.68,114D,32,128,93,0.0
1787960459.72,1153,40,136,93,0.0
1787960459.73,0110,0,175,93,0.0
1787960459.75,1154,29,192,93,0.0
1787960459.78,1169,29,189,93,0.0
1787960459.78,010B,30,0,93,0.0
1787960459.81,1173,2,68,93,0.0
1787960459.83,0110,0,173,93,0.0
1787960459.84,1177,18,52,93,0.0
1787960459.88,1410,0,197,93,0.0
1787960459.88,010B,30,0,93,0.0
1787960459.91,1631,1,0,93,0.0
1787960459.93,0110,0,171,93,0.0
1787960459.94,1678,0,0,93,0.0
1787960459.97,1681,0,0,93,0.0
1787960459.98,010B,30,0,93,0.0
1787960460.00,16CD,0,0,93,0.0
1787960460.04,16CE,255,249,93,0.0
1787960460.07,16CF,13,89,93,0.0
1787960460.08,010B,30,0,93,0.0
1787960460.10,16E8,67,19,93,0.0
1787960460.13,16E9,0,116,93,0.0
1787960460.13,0110,0,168,93,0.0
1787960460.17,16F0,3,131,93,0.0
1787960460.18,010B,30,0,93,0.0
1787960460.20,1704,0,0,93,0.0
1787960460.23,1706,128,0,93,0.0
1787960460.23,0110,0,173,93,0.0
