t,pid,b1,b2,coolant,speed
1788072050.91,0000,190,63,0,0.0
1788072050.94,0002,0,0,0,0.0
1788072050.98,0003,2,0,93,0.0
1788072051.02,0005,133,0,93,0.0
1788072051.53,0006,129,0,93,0.0
1788072051.54,000F,106,0,93,0.0
1788072051.55,0030,255,0,93,0.0
1788072051.59,003C,24,10,93,0.0
1788072051.62,0040,104,0,93,0.0
1788072051.66,0042,52,209,93,0.0
1788072051.70,0043,0,73,93,0.0
1788072051.73,0200,0,0,93,0.0
1788072051.76,0202,0,0,93,0.0
1788072051.79,0900,6,94,93,0.0
1788072051.82,0968,0,0,93,0.0
1788072051.86,096E,10,240,93,0.0
1788072051.89,097C,108,68,93,0.0
1788072051.92,098E,0,0,93,0.0
1788072051.95,1101,1,0,93,0.0
1788072051.98,1103,4,0,93,0.0
1788072052.02,1104,1,0,93,0.0
1788072052.05,114A,38,192,93,0.0
1788072052.07,114D,32,128,93,0.0
1788072052.10,1153,59,185,93,0.0
1788072052.14,1154,29,192,93,0.0
1788072052.17,1169,29,189,93,0.0
1788072052.20,1173,0,240,93,0.0
1788072052.23,1177,21,4,93,0.0
