t,pid,b1,b2,coolant,speed
1788070143.15,0000,190,63,0,0.0
1788070143.16,0110,1,50,0,0.0
1788070143.18,0002,0,0,0,0.0
1788070143.21,010B,47,0,0,0.0
1788070143.22,0003,2,0,0,0.0
1788070143.25,0005,131,0,91,0.0
1788070143.26,0110,1,50,91,0.0
1788070143.28,0006,136,0,91,0.0
1788070143.31,0007,130,0,91,0.0
1788070143.34,000B,47,0,91,0.0
1788070143.36,0110,1,43,91,0.0
1788070143.38,000C,11,226,91,0.0
1788070143.42,000D,0,0,91,0.0
1788070143.45,000E,140,0,91,0.0
1788070143.46,0110,1,43,91,0.0
1788070143.48,000F,109,0,91,0.0
1788070143.51,0010,1,53,91,0.0
1788070143.54,0011,30,0,91,0.0
1788070143.56,0110,1,50,91,0.0
1788070143.58,0013,1,0,91,0.0
1788070143.61,001C,10,0,91,0.0
1788070143.61,010B,47,0,91,0.0
1788070143.64,001F,0,36,91,0.0
1788070143.66,0110,1,50,91,0.0
1788070143.67,0020,128,21,91,0.0
1788070143.70,0021,0,0,91,0.0
1788070143.71,010B,47,0,91,0.0
1788070143.74,002C,0,0,91,0.0
1788070143.76,0110,1,47,91,0.0
1788070143.77,002E,0,0,91,0.0
1788070143.80,0030,255,0,91,0.0
1788070143.81,010B,46,0,91,0.0
1788070143.83,003C,25,247,91,0.0
1788070143.86,0110,1,50,91,0.0
1788070143.87,0040,104,0,91,0.0
1788070143.90,0042,52,181,91,0.0
1788070143.91,010B,46,0,91,0.0
1788070143.94,0043,0,77,91,0.0
1788070143.96,0110,1,47,91,0.0
1788070143.97,0200,0,0,91,0.0
1788070144.00,0202,0,0,91,0.0
1788070144.01,010B,46,0,91,0.0
1788070144.03,0900,6,124,91,0.0
1788070144.06,0968,0,0,91,0.0
1788070144.10,096E,11,184,91,0.0
1788070144.11,010B,46,0,91,0.0
1788070144.13,097C,108,9,91,0.0
1788070144.16,098E,0,0,91,0.0
1788070144.16,0110,1,47,91,0.0
1788070144.19,1101,1,0,91,0.0
1788070144.21,010B,46,0,91,0.0
1788070144.22,1103,12,0,91,0.0
1788070144.26,1104,1,0,91,0.0
1788070144.26,0110,1,43,91,0.0
1788070144.30,114A,35,128,91,0.0
1788070144.31,010B,46,0,91,0.0
1788070144.33,114D,34,0,91,0.0
1788070144.36,1153,64,162,91,0.0
1788070144.36,0110,1,47,91,0.0
1788070144.39,1154,29,192,91,0.0
1788070144.41,010B,46,0,91,0.0
1788070144.42,1169,29,189,91,0.0
1788070144.46,1173,3,82,91,0.0
1788070144.46,0110,1,53,91,0.0
1788070144.46,17B3,148,0,91,0.0
1788070144.49,1177,21,224,91,0.0
1788070144.51,010B,46,0,91,0.0
1788070144.52,1410,1,104,91,0.0
1788070144.55,1631,1,0,91,0.0
1788070144.56,0110,1,40,91,0.0
1788070144.58,1678,0,0,91,0.0
1788070144.61,010B,46,0,91,0.0
1788070144.62,1681,0,0,91,0.0
1788070144.65,16CD,0,0,91,0.0
1788070144.66,0110,1,47,91,0.0
1788070144.68,16CE,255,250,91,0.0
1788070144.71,010B,46,0,91,0.0
1788070144.72,16CF,13,193,91,0.0
1788070144.75,16E8,80,205,91,0.0
1788070144.76,0110,1,47,91,0.0
1788070144.78,16E9,0,116,91,0.0
1788070144.82,16F0,3,131,91,0.0
1788070144.85,1704,0,0,91,0.0
1788070144.86,0110,1,40,91,0.0
1788070144.88,1706,128,0,91,0.0
1788070144.91,1709,0,0,91,0.0
1788070144.94,1717,1,0,91,0.0
1788070144.96,0110,1,53,91,0.0
1788070144.98,1718,1,0,91,0.0
1788070145.01,1746,0,0,91,0.0
1788070145.01,010B,46,0,91,0.0
1788070145.04,1782,139,0,91,0.0
1788070145.06,0110,1,47,91,0.0
1788070145.07,1783,110,192,91,0.0
1788070145.10,17A0,32,0,91,0.0
1788070145.11,010B,46,0,91,0.0
1788070145.14,17A6,0,0,91,0.0
1788070145.16,0110,1,53,91,0.0
1788070145.17,17B0,20,0,91,0.0
1788070145.20,17B1,32,0,91,0.0
1788070145.21,010B,46,0,91,0.0
1788070145.23,17B2,4,0,91,0.0
1788070145.26,17B3,148,0,91,0.0
1788070145.30,17B5,80,0,91,0.0
1788070145.31,010B,47,0,91,0.0
1788070145.33,17B6,0,0,91,0.0
1788070145.36,17B8,238,0,91,0.0
1788070145.36,0110,1,47,91,0.0
1788070145.39,17BA,0,0,91,0.0
1788070145.41,010B,46,0,91,0.0
1788070145.43,17BB,0,0,91,0.0
1788070145.46,17BC,0,0,91,0.0
1788070145.46,0110,1,40,91,0.0
1788070145.49,17BD,40,0,91,0.0
1788070145.51,010B,47,0,91,0.0
1788070145.52,17BE,0,0,91,0.0
1788070145.56,17C1,234,0,91,0.0
1788070145.56,0110,1,47,91,0.0
1788070145.59,3201,23,112,91,0.0
1788070145.61,010B,46,0,91,0.0
1788070145.62,990A,55,0,91,0.0
1788070145.66,996E,10,180,91,0.0
1788070145.66,0110,1,50,91,0.0
1788070145.69,A211,0,0,91,0.0
1788070145.71,010B,47,0,91,0.0
1788070145.72,D100,129,0,91,0.0
1788070145.75,E21B,90,74,91,0.0
1788070145.76,0110,1,47,91,0.0
1788070145.78,E21C,49,56,91,0.0
1788070145.82,E21D,56,56,91,0.0
1788070145.85,E21E,70,0,91,0.0
1788070145.86,0110,1,47,91,0.0
1788070145.88,E6F0,90,74,91,0.0
1788070145.91,E6F2,240,0,91,0.0
1788070145.94,E6F3,240,0,91,0.0
1788070145.96,0110,1,50,91,0.0
1788070145.97,0105,131,0,91,0.0
1788070146.00,010F,109,0,91,0.0
1788070146.01,010B,47,0,91,0.0
1788070146.04,0110,1,47,91,0.0
1788070146.06,0110,1,47,91,0.0
1788070146.07,010B,47,0,91,0.0
1788070146.10,0106,135,0,91,0.0
1788070146.11,010B,47,0,91,0.0
1788070146.13,0107,130,0,91,0.0
1788070146.16,0110,1,53,91,0.0
1788070146.16,010E,141,0,91,0.0
1788070146.20,0142,52,179,91,0.0
1788070146.21,010B,47,0,91,0.0
1788070146.24,0000,190,63,91,0.0
1788070146.26,0110,1,47,91,0.0
1788070146.27,0002,0,0,91,0.0
1788070146.30,0003,2,0,91,0.0
1788070146.31,010B,47,0,91,0.0
1788070146.34,0005,131,0,91,0.0
1788070146.36,0110,1,50,91,0.0
1788070146.37,0006,136,0,91,0.0
1788070146.40,0007,130,0,91,0.0
1788070146.41,010B,47,0,91,0.0
1788070146.43,000B,46,0,91,0.0
1788070146.46,000C,11,225,91,0.0
1788070146.50,000D,0,0,91,0.0
1788070146.51,010B,46,0,91,0.0
1788070146.53,000E,141,0,91,0.0
1788070146.56,000F,109,0,91,0.0
1788070146.56,0110,1,40,91,0.0
1788070146.59,0010,1,47,91,0.0
1788070146.61,010B,47,0,91,0.0
1788070146.63,0011,30,0,91,0.0
1788070146.66,0013,1,0,91,0.0
1788070146.70,001C,10,0,91,0.0
1788070146.71,010B,46,0,91,0.0
1788070146.73,001F,0,40,91,0.0
1788070146.76,0020,128,21,91,0.0
1788070146.76,0110,1,37,91,0.0
1788070146.79,0021,0,0,91,0.0
1788070146.81,010B,46,0,91,0.0
1788070146.82,002C,0,0,91,0.0
1788070146.86,002E,0,0,91,0.0
1788070146.86,0110,1,43,91,0.0
1788070146.89,0030,255,0,91,0.0
1788070146.91,010B,46,0,91,0.0
1788070146.92,003C,25,220,91,0.0
1788070146.95,0040,104,0,91,0.0
1788070146.96,0110,1,40,91,0.0
1788070146.98,0042,52,188,91,0.0
1788070147.01,010B,47,0,91,0.0
1788070147.02,0043,0,76,91,0.0
1788070147.06,0200,0,0,91,0.0
1788070147.06,0110,1,47,91,0.0
1788070147.09,0202,0,0,91,0.0
1788070147.11,010B,46,0,91,0.0
1788070147.12,0900,6,124,91,0.0
1788070147.15,0968,0,0,91,0.0
1788070147.16,0110,1,40,91,0.0
1788070147.18,096E,11,184,91,0.0
1788070147.21,010B,46,0,91,0.0
1788070147.22,097C,108,11,91,0.0
1788070147.25,098E,0,0,91,0.0
1788070147.26,0110,1,50,91,0.0
1788070147.28,1101,1,0,91,0.0
1788070147.31,1103,12,0,91,0.0
1788070147.34,1104,1,0,91,0.0
1788070147.36,0110,1,43,91,0.0
1788070147.38,114A,35,192,91,0.0
1788070147.41,114D,34,0,91,0.0
1788070147.41,010B,46,0,91,0.0
1788070147.44,1153,64,138,91,0.0
1788070147.46,0110,1,43,91,0.0
1788070147.47,1154,29,192,91,0.0
1788070147.50,1169,29,189,91,0.0
1788070147.51,010B,46,0,91,0.0
1788070147.54,1173,2,228,91,0.0
1788070147.56,0110,1,43,91,0.0
1788070147.57,1177,21,164,91,0.0
1788070147.61,1410,1,100,91,0.0
1788070147.61,010B,46,0,91,0.0
1788070147.64,1631,1,0,91,0.0
1788070147.66,0110,1,50,91,0.0
1788070147.67,1678,0,0,91,0.0
1788070147.70,1681,0,0,91,0.0
1788070147.71,010B,46,0,91,0.0
1788070147.74,16CD,0,0,91,0.0
1788070147.76,0110,1,47,91,0.0
1788070147.77,16CE,255,248,91,0.0
1788070147.80,16CF,13,238,91,0.0
1788070147.81,010B,46,0,91,0.0
1788070147.83,16E8,81,177,91,0.0
1788070147.86,16E9,0,117,91,0.0
1788070147.90,16F0,3,131,91,0.0
1788070147.91,010B,46,0,91,0.0
1788070147.93,1704,0,0,91,0.0
1788070147.96,1706,128,0,91,0.0
1788070147.96,0110,1,43,91,0.0
1788070147.99,1709,0,0,91,0.0
1788070148.01,010B,47,0,91,0.0
1788070148.02,1717,1,0,91,0.0
1788070148.06,1718,1,0,91,0.0
1788070148.06,0110,1,43,91,0.0
1788070148.09,1746,0,0,91,0.0
1788070148.11,010B,46,0,91,0.0
1788070148.12,1782,139,0,91,0.0
1788070148.15,1783,110,192,91,0.0
1788070148.16,0110,1,50,91,0.0
1788070148.18,17A0,32,0,91,0.0
1788070148.21,010B,47,0,91,0.0
1788070148.22,17A6,0,0,91,0.0
1788070148.25,17B0,20,0,91,0.0
1788070148.26,0110,1,47,91,0.0
1788070148.28,17B1,32,0,91,0.0
1788070148.31,010B,47,0,91,0.0
1788070148.35,17B3,148,0,91,0.0
1788070148.36,0110,1,43,91,0.0
1788070148.38,17B5,80,0,91,0.0
1788070148.42,17B6,0,0,91,0.0
1788070148.45,17B8,238,0,91,0.0
1788070148.46,0110,1,47,91,0.0
1788070148.46,17B3,148,0,91,0.0
1788070148.48,17BA,0,0,91,0.0
1788070148.51,17BB,0,0,91,0.0
1788070148.54,17BC,0,0,91,0.0
1788070148.56,0110,1,53,91,0.0
1788070148.58,17BD,39,0,91,0.0
1788070148.61,17BE,0,0,91,0.0
1788070148.61,010B,47,0,91,0.0
1788070148.64,17C1,234,0,91,0.0
1788070148.66,0110,1,47,91,0.0
1788070148.67,3201,23,112,91,0.0
1788070148.70,990A,54,0,91,0.0
1788070148.71,010B,47,0,91,0.0
1788070148.74,996E,10,220,91,0.0
1788070148.76,0110,1,43,91,0.0
1788070148.77,A211,0,0,91,0.0
1788070148.80,D100,129,0,91,0.0
1788070148.81,010B,47,0,91,0.0
1788070148.83,E21B,90,74,91,0.0
1788070148.86,0110,1,47,91,0.0
1788070148.86,E21C,49,56,91,0.0
1788070148.90,E21D,56,56,91,0.0
1788070148.91,010B,47,0,91,0.0
1788070148.94,E21E,70,0,91,0.0
1788070148.97,E6F0,90,74,91,0.0
1788070149.00,E6F2,240,0,91,0.0
1788070149.01,010B,47,0,91,0.0
1788070149.03,E6F3,240,0,91,0.0
1788070149.06,0105,131,0,91,0.0
1788070149.06,0110,1,50,91,0.0
1788070149.09,010F,109,0,91,0.0
1788070149.11,010B,47,0,91,0.0
1788070149.12,0110,1,53,91,0.0
1788070149.16,010B,47,0,91,0.0
1788070149.16,0110,1,53,91,0.0
1788070149.19,0106,136,0,91,0.0
1788070149.21,010B,47,0,91,0.0
1788070149.22,0107,130,0,91,0.0
1788070149.25,010E,141,0,91,0.0
1788070149.26,0110,1,43,91,0.0
1788070149.28,0142,52,197,91,0.0
1788070149.31,010B,47,0,91,0.0
1788070149.32,0000,190,63,91,0.0
1788070149.35,0002,0,0,91,0.0
1788070149.36,0110,1,47,91,0.0
1788070149.38,0003,2,0,91,0.0
1788070149.41,010B,46,0,91,0.0
1788070149.42,0005,131,0,91,0.0
1788070149.45,0006,137,0,91,0.0
1788070149.46,0110,1,43,91,0.0
1788070149.49,0007,130,0,91,0.0
1788070149.51,010B,47,0,91,0.0
1788070149.52,000B,46,0,91,0.0
1788070149.55,000C,11,230,91,0.0
1788070149.56,0110,1,47,91,0.0
1788070149.58,000D,0,0,91,0.0
1788070149.62,000E,141,0,91,0.0
1788070149.65,000F,109,0,91,0.0
1788070149.66,0110,1,43,91,0.0
1788070149.68,0010,1,40,91,0.0
1788070149.71,0011,30,0,91,0.0
1788070149.74,0013,1,0,91,0.0
1788070149.76,0110,1,47,91,0.0
1788070149.78,001C,10,0,91,0.0
1788070149.81,001F,0,41,91,0.0
1788070149.81,010B,46,0,91,0.0
1788070149.84,0020,128,21,91,0.0
1788070149.86,0110,1,47,91,0.0
1788070149.87,0021,0,0,91,0.0
1788070149.90,002C,0,0,91,0.0
1788070149.91,010B,46,0,91,0.0
1788070149.94,002E,0,0,91,0.0
1788070149.96,0110,1,43,91,0.0
1788070149.97,0030,255,0,91,0.0
1788070150.00,003C,25,198,91,0.0
1788070150.01,010B,46,0,91,0.0
1788070150.03,0040,104,0,91,0.0
1788070150.06,0110,1,47,91,0.0
