t,pid,b1,b2,coolant,speed
1788259876.31,0000,190,63,0,1.0
1788259876.33,0110,1,85,0,1.0
1788259876.35,0002,0,0,0,1.0
1788259876.38,0003,2,0,0,1.0
1788259876.38,010B,58,0,0,1.0
1788259876.41,0005,130,0,90,1.0
1788259876.43,0110,1,93,90,0.9
1788259876.44,0006,134,0,90,0.9
1788259876.47,0007,126,0,90,0.9
1788259876.48,010B,58,0,90,0.9
1788259876.51,000B,58,0,90,0.9
1788259876.53,0110,1,74,90,0.8
1788259876.54,000C,10,198,90,0.8
1788259876.57,000D,0,0,90,0.4
1788259876.58,010B,58,0,90,0.4
1788259876.60,000E,134,0,90,0.4
1788259876.63,0110,1,81,90,0.0
1788259876.63,000F,94,0,90,0.0
1788259876.67,0010,1,81,90,0.0
1788259876.68,010B,58,0,90,0.0
1788259876.70,0011,30,0,90,0.0
1788259876.73,0110,1,93,90,0.0
1788259876.74,0013,1,0,90,0.0
1788259876.76,001C,10,0,90,0.0
1788259876.78,010B,57,0,90,0.0
1788259876.79,001F,0,36,90,0.0
1788259876.83,0020,128,21,90,0.0
1788259876.83,0110,1,97,90,0.0
1788259876.86,0021,0,0,90,0.0
1788259876.88,010B,57,0,90,0.0
1788259876.89,002C,0,0,90,0.0
1788259876.93,002E,0,0,90,0.0
1788259876.96,0030,255,0,90,0.0
1788259876.98,010B,57,0,90,0.0
1788259876.99,003C,25,47,90,0.0
1788259877.03,0040,104,0,90,0.0
1788259877.03,0110,1,81,90,0.0
1788259877.06,0042,53,86,90,0.0
1788259877.08,010B,57,0,90,0.0
1788259877.09,0043,0,94,90,0.0
1788259877.12,0200,0,0,90,0.0
1788259877.13,0110,1,74,90,0.0
1788259877.15,0202,0,0,90,0.0
1788259877.18,010B,57,0,90,0.0
1788259877.19,0900,7,73,90,0.0
1788259877.22,0968,0,0,90,0.0
1788259877.23,0110,1,74,90,0.0
1788259877.25,096E,10,140,90,0.0
1788259877.28,097C,109,164,90,0.0
1788259877.31,098E,0,0,90,0.0
1788259877.33,0110,1,78,90,0.0
1788259877.35,1101,11,0,90,0.0
1788259877.38,1103,4,0,90,0.0
1788259877.38,010B,57,0,90,0.0
1788259877.41,1104,1,0,90,0.0
1788259877.43,0110,1,89,90,0.0
1788259877.44,114A,53,0,90,0.0
1788259877.47,114D,35,0,90,0.0
1788259877.48,010B,57,0,90,0.0
1788259877.51,1153,66,245,90,0.0
1788259877.53,0110,1,78,90,0.0
1788259877.54,1154,29,192,90,0.0
1788259877.57,1169,29,176,90,0.0
1788259877.58,010B,57,0,90,0.0
1788259877.61,1173,2,28,90,0.0
1788259877.63,0110,1,67,90,0.0
1788259877.64,1177,22,88,90,0.0
1788259877.67,1410,1,167,90,0.0
1788259877.68,010B,57,0,90,0.0
1788259877.71,1631,1,0,90,0.0
1788259877.73,0110,1,78,90,0.0
1788259877.74,1678,0,0,90,0.0
1788259877.77,1681,0,0,90,0.0
1788259877.78,010B,57,0,90,0.0
1788259877.80,16CD,0,0,90,0.0
1788259877.83,0110,1,89,90,0.0
1788259877.87,16CF,13,141,90,0.0
1788259877.88,010B,57,0,90,0.0
1788259877.90,16E8,116,71,90,0.0
1788259877.93,16E9,0,118,90,0.0
1788259877.96,16F0,3,131,90,0.0
1788259877.98,010B,57,0,90,0.0
1788259877.99,1704,0,0,90,0.0
1788259878.03,1706,128,0,90,0.0
1788259878.07,1709,0,0,90,0.0
1788259878.08,010B,57,0,90,0.0
1788259878.10,1717,0,0,90,0.0
1788259878.13,1718,1,0,90,0.0
1788259878.16,1746,0,0,90,0.0
1788259878.18,010B,57,0,90,0.0
1788259878.19,1782,164,128,90,0.0
1788259878.23,1783,110,192,90,0.0
1788259878.27,17A0,35,0,90,0.8
1788259878.28,010B,57,0,90,0.8
1788259878.30,17A6,0,0,90,0.8
1788259878.33,17B0,2,0,90,0.8
1788259878.33,0110,1,81,90,0.8
1788259878.36,17B1,16,0,90,0.9
1788259878.38,010B,57,0,90,0.9
1788259878.39,17B2,1,0,90,1.0
1788259878.43,17B3,118,0,90,1.0
1788259878.43,0110,1,85,90,1.0
1788259878.46,17B5,80,0,90,1.0
1788259878.48,010B,57,0,90,1.1
1788259878.49,17B6,0,0,90,1.1
1788259878.52,17B8,239,0,90,1.2
1788259878.53,0110,1,93,90,1.2
1788259878.55,17BA,0,0,90,1.2
1788259878.58,010B,57,0,90,1.2
1788259878.59,17BB,255,0,90,1.2
1788259878.62,17BC,255,0,90,1.2
1788259878.63,0110,1,85,90,1.2
1788259878.65,17BD,78,0,90,1.3
1788259878.68,010B,57,0,90,1.3
1788259878.69,17BE,0,0,90,1.3
1788259878.72,17C1,128,0,90,1.4
1788259878.73,0110,1,85,90,1.4
1788259878.75,3201,23,112,90,1.4
1788259878.78,990A,48,0,90,1.4
1788259878.82,996E,12,108,90,1.5
1788259878.83,0110,1,89,90,1.5
1788259878.85,A211,0,0,90,1.5
1788259878.88,010B,58,0,90,1.6
1788259878.88,D100,129,0,90,1.6
1788259878.91,E21B,90,74,90,1.6
1788259878.93,0110,1,100,90,1.6
1788259878.94,E21C,49,56,90,1.6
1788259878.99,E21D,56,56,90,1.7
1788259879.02,E21E,70,0,90,1.7
1788259879.03,0110,1,93,90,1.7
1788259879.05,E6F0,90,74,90,1.8
1788259879.08,E6F2,240,0,90,1.8
1788259879.08,010B,58,0,90,1.8
1788259879.12,E6F3,240,0,90,1.9
1788259879.13,0110,1,97,90,1.9
1788259879.14,0105,130,0,90,1.9
1788259879.17,010F,94,0,90,1.9
1788259879.18,010B,59,0,90,1.9
1788259879.20,0110,1,129,90,2.0
1788259879.23,0110,1,138,90,2.0
1788259879.24,010B,59,0,90,2.0
1788259879.27,0106,134,0,90,2.0
1788259879.28,010B,59,0,90,2.0
1788259879.30,0107,126,0,90,2.1
1788259879.33,0110,1,108,90,2.1
1788259879.34,010E,148,0,90,2.1
1788259879.37,0142,53,12,90,2.1
1788259879.38,010B,60,0,90,2.1
1788259879.41,0000,190,63,90,2.2
1788259879.43,0110,1,108,90,2.2
1788259879.44,0002,0,0,90,2.2
1788259879.47,0003,2,0,90,2.3
1788259879.48,010B,60,0,90,2.3
1788259879.50,0005,130,0,90,2.3
1788259879.53,0110,1,97,90,2.3
1788259879.54,0006,135,0,90,2.3
1788259879.57,0007,126,0,90,2.4
1788259879.58,010B,60,0,90,2.4
1788259879.61,000B,60,0,90,2.4
1788259879.63,0110,1,78,90,2.4
1788259879.64,000C,10,235,90,2.5
1788259879.68,000D,1,0,90,2.5
1788259879.68,010B,60,0,90,2.5
1788259879.70,000E,127,0,90,2.5
1788259879.73,0110,1,89,90,2.6
1788259879.73,0142,53,155,90,2.6
1788259879.74,000F,94,0,90,2.6
1788259879.77,0010,1,93,90,2.6
1788259879.78,010B,59,0,90,2.6
1788259879.80,0011,30,0,90,2.7
1788259879.83,0013,1,0,90,2.7
