t,pid,b1,b2,coolant,speed
1788195129.04,0000,190,63,0,0.0
1788195129.04,0110,1,1,0,0.0
1788195129.07,0002,0,0,0,0.0
1788195129.09,010B,43,0,0,0.0
1788195129.10,0003,2,0,82,0.0
1788195129.13,0005,122,0,82,0.0
1788195129.15,0110,1,8,82,0.0
1788195129.16,0006,138,0,82,0.0
1788195129.19,010B,43,0,82,0.0
1788195129.20,0007,129,0,82,0.0
1788195129.23,000B,43,0,82,0.0
1788195129.24,0110,1,4,82,0.0
1788195129.27,000C,11,26,82,0.0
1788195129.29,010B,43,0,82,0.0
1788195129.33,000E,138,0,82,0.0
1788195129.35,0110,1,1,82,0.0
1788195129.36,000F,102,0,82,0.0
1788195129.40,0010,1,4,82,0.0
1788195129.43,0011,30,0,82,0.0
1788195129.44,0110,1,8,82,0.0
1788195129.46,0013,1,0,82,0.0
1788195129.49,001C,10,0,82,0.0
1788195129.49,010B,43,0,82,0.0
1788195129.52,001F,0,36,82,0.0
1788195129.54,0110,0,254,82,0.0
1788195129.56,0020,128,21,82,0.0
1788195129.59,0021,0,0,82,0.0
1788195129.59,010B,43,0,82,0.0
1788195129.62,002C,0,0,82,0.0
1788195129.64,0110,0,254,82,0.0
1788195129.65,002E,0,0,82,0.0
1788195129.68,0030,255,0,82,0.0
1788195129.69,010B,43,0,82,0.0
1788195129.72,003C,21,43,82,0.0
1788195129.75,0110,0,254,82,0.0
1788195129.76,0040,104,0,82,0.0
1788195129.79,0042,53,2,82,0.0
1788195129.79,010B,43,0,82,0.0
1788195129.82,0043,0,70,82,0.0
1788195129.84,0110,0,248,82,0.0
1788195129.85,0200,0,0,82,0.0
1788195129.88,0202,0,0,82,0.0
1788195129.89,010B,43,0,82,0.0
1788195129.92,0900,6,49,82,0.0
1788195129.95,0968,0,0,82,0.0
1788195129.98,096E,10,240,82,0.0
1788195129.99,010B,43,0,82,0.0
1788195130.01,097C,108,175,82,0.0
1788195130.04,098E,0,0,82,0.0
1788195130.04,0110,1,8,82,0.0
1788195130.08,1101,1,0,82,0.0
1788195130.09,010B,43,0,82,0.0
1788195130.11,1103,4,0,82,0.0
1788195130.14,1104,1,0,82,0.0
1788195130.14,0110,1,1,82,0.0
1788195130.17,114A,43,128,82,0.0
1788195130.19,010B,43,0,82,0.0
1788195130.20,114D,42,0,82,0.0
1788195130.24,1153,58,133,82,0.0
1788195130.24,0110,0,248,82,0.0
1788195130.27,1154,29,192,82,0.0
1788195130.29,010B,43,0,82,0.0
1788195130.31,1169,29,181,82,0.0
1788195130.34,1173,1,94,82,0.0
1788195130.34,0110,1,1,82,0.0
1788195130.35,0142,52,250,82,0.0
1788195130.37,1177,20,180,82,0.0
1788195130.39,010B,43,0,82,0.0
1788195130.40,1410,1,70,82,0.0
1788195130.44,1631,1,0,82,0.0
1788195130.45,0110,1,1,82,0.0
1788195130.47,1678,0,0,82,0.0
1788195130.50,010B,43,0,82,0.0
1788195130.50,1681,0,0,82,0.0
1788195130.53,16CD,0,0,82,0.0
1788195130.54,0110,0,254,82,0.0
1788195130.56,16CE,255,242,82,0.0
1788195130.60,16CF,13,102,82,0.0
1788195130.63,16E8,85,22,82,0.0
1788195130.64,0110,1,1,82,0.0
1788195130.66,16E9,0,117,82,0.0
