t,pid,b1,b2,coolant,speed
1787960446.81,0000,190,63,0,0.0
1787960446.85,0002,0,0,94,0.0
1787960446.88,0003,2,0,94,0.0
1787960446.91,0005,134,0,94,0.0
1787960446.94,0006,129,0,94,0.0
1787960446.97,0007,125,0,94,0.0
1787960447.01,000B,42,0,94,0.0
1787960447.05,000C,11,17,94,0.0
1787960447.08,000D,0,0,94,0.0
1787960447.11,000E,142,0,94,0.0
1787960447.14,000F,99,0,94,0.0
1787960447.17,0010,0,251,94,0.0
1787960447.21,0011,30,0,94,0.0
1787960447.23,0013,1,0,94,0.0
1787960447.26,001C,10,0,94,0.0
1787960447.29,001F,0,24,94,0.0
1787960447.33,0020,128,21,94,0.0
1787960447.37,0021,0,0,94,0.0
1787960447.40,002C,0,0,94,0.0
1787960447.43,002E,0,0,94,0.0
1787960447.46,0030,255,0,94,0.0
1787960447.49,003C,24,40,94,0.0
1787960447.53,0040,104,0,94,0.0
1787960447.56,0042,53,34,94,0.0
1787960447.59,0043,0,69,94,0.0
1787960447.62,0200,0,0,94,0.0
1787960447.65,0202,0,0,94,0.0
1787960447.69,0900,6,44,94,0.0
1787960447.72,0968,0,0,94,0.0
1787960447.75,096E,10,240,94,0.0
1787960447.78,097C,108,248,94,0.0
1787960447.81,098E,0,0,94,0.0
1787960447.85,1101,1,0,94,0.0
1787960447.88,1103,4,0,94,0.0
1787960447.91,1104,1,0,94,0.0
1787960447.94,114A,46,128,94,0.0
1787960447.97,114D,31,128,94,0.0
