t,pid,b1,b2,coolant,speed
1788055656.58,0000,190,63,0,0.0
1788055656.61,0002,0,0,62,0.0
1788055656.61,010B,44,0,62,0.0
1788055656.64,0003,2,0,62,0.0
1788055656.66,0110,1,67,62,0.0
1788055656.67,0005,102,0,62,0.0
1788055656.71,0006,145,0,62,0.0
1788055656.71,010B,44,0,62,0.0
1788055656.74,0007,127,0,62,0.0
1788055656.76,0110,1,67,62,0.0
1788055656.77,000B,44,0,62,0.0
1788055656.80,000C,12,243,62,0.0
1788055656.81,010B,44,0,62,0.0
1788055656.83,000D,0,0,62,0.0
1788055656.86,0110,1,60,62,0.0
1788055656.87,000E,150,0,62,0.0
1788055656.91,000F,94,0,62,0.0
1788055656.91,010B,44,0,62,0.0
1788055656.94,0010,1,71,62,0.0
1788055656.96,0110,1,71,62,0.0
1788055656.97,0011,29,0,62,0.0
1788055657.00,0013,1,0,62,0.0
1788055657.01,010B,44,0,62,0.0
1788055657.03,001C,10,0,62,0.0
1788055657.07,001F,0,38,62,0.0
1788055657.10,0020,128,21,62,0.0
1788055657.11,010B,44,0,62,0.0
1788055657.13,0021,0,0,62,0.0
1788055657.16,002C,0,0,62,0.0
1788055657.16,0110,1,71,62,0.0
1788055657.19,002E,0,0,62,0.0
1788055657.21,010B,44,0,62,0.0
1788055657.23,0030,255,0,62,0.0
1788055657.26,003C,18,132,62,0.0
1788055657.26,0110,1,71,62,0.0
1788055657.29,0040,104,0,62,0.0
1788055657.31,010B,44,0,62,0.0
1788055657.32,0042,53,129,62,0.0
1788055657.35,0043,0,76,62,0.0
1788055657.36,0110,1,71,62,0.0
1788055657.39,0200,0,0,62,0.0
1788055657.41,010B,44,0,62,0.0
1788055657.42,0202,0,0,62,0.0
1788055657.45,0900,6,69,62,0.0
1788055657.46,0110,1,74,62,0.0
1788055657.49,0968,0,0,62,0.0
1788055657.51,096E,12,247,62,0.0
1788055657.55,097C,109,156,62,0.0
1788055657.56,0110,1,67,62,0.0
1788055657.59,098E,0,0,62,0.0
1788055657.62,1101,1,0,62,0.0
1788055657.65,1103,4,0,62,0.0
1788055657.66,0110,1,71,62,0.0
1788055657.68,1104,1,0,62,0.0
1788055657.71,114A,52,128,62,0.0
1788055657.75,114D,68,192,62,0.0
1788055657.76,0110,1,67,62,0.0
1788055657.78,1153,66,147,62,0.0
1788055657.81,1154,29,128,62,0.0
1788055657.81,010B,44,0,62,0.0
1788055657.84,1169,29,131,62,0.0
1788055657.86,0110,1,78,62,0.0
1788055657.87,1173,2,93,62,0.0
1788055657.91,1177,22,68,62,0.0
1788055657.91,010B,44,0,62,0.0
1788055657.94,1410,1,117,62,0.0
1788055657.96,0110,1,71,62,0.0
1788055657.97,1631,1,0,62,0.0
1788055658.00,1678,0,0,62,0.0
1788055658.01,010B,44,0,62,0.0
1788055658.03,1681,0,0,62,0.0
1788055658.07,16CD,0,0,62,0.0
1788055658.10,16CE,0,0,62,0.0
1788055658.11,010B,44,0,62,0.0
1788055658.13,16CF,12,237,62,0.0
1788055658.16,16E8,69,192,62,0.0
1788055658.16,0110,1,71,62,0.0
1788055658.17,17B3,112,0,62,0.0
1788055658.19,16E9,0,117,62,0.0
1788055658.21,010B,44,0,62,0.0
