t,pid,b1,b2,coolant,speed
1788188458.48,0000,190,63,0,0.0
1788188458.50,010B,32,0,0,0.0
1788188458.52,0002,0,0,0,0.0
1788188458.55,0003,2,0,79,0.0
1788188458.55,0110,0,183,79,0.0
1788188458.58,0005,119,0,79,0.0
1788188458.60,010B,32,0,79,0.0
1788188458.61,0006,133,0,79,0.0
1788188458.64,0007,126,0,79,0.0
1788188458.65,0110,0,183,79,0.0
1788188458.68,000B,32,0,79,0.0
1788188458.70,010B,32,0,79,0.0
1788188458.71,000C,10,250,79,0.0
1788188458.74,000D,0,0,79,0.0
1788188458.75,0110,0,183,79,0.0
1788188458.77,000E,152,0,79,0.0
1788188458.80,010B,32,0,79,0.0
1788188458.84,0010,0,183,79,0.0
1788188458.85,0110,0,180,79,0.0
1788188458.87,0011,29,0,79,0.0
1788188458.90,0013,1,0,79,0.0
1788188458.90,010B,32,0,79,0.0
1788188458.93,001C,10,0,79,0.0
1788188458.95,0110,0,183,79,0.0
1788188458.96,001F,0,36,79,0.0
1788188459.00,0020,128,21,79,0.0
1788188459.00,010B,32,0,79,0.0
1788188459.03,0021,0,0,79,0.0
1788188459.05,0110,0,185,79,0.0
1788188459.06,002C,0,0,79,0.0
1788188459.09,002E,0,0,79,0.0
1788188459.10,010B,32,0,79,0.0
1788188459.12,0030,255,0,79,0.0
1788188459.15,0110,0,180,79,0.0
1788188459.16,003C,19,42,79,0.0
1788188459.20,0040,104,0,79,0.0
1788188459.20,010B,32,0,79,0.0
1788188459.23,0042,53,155,79,0.0
1788188459.25,0110,0,183,79,0.0
1788188459.26,0043,0,51,79,0.0
1788188459.29,0200,0,0,79,0.0
1788188459.30,010B,32,0,79,0.0
1788188459.32,0202,0,0,79,0.0
1788188459.36,0900,5,95,79,0.0
1788188459.39,0968,0,0,79,0.0
1788188459.40,010B,32,0,79,0.0
1788188459.42,096E,10,254,79,0.0
1788188459.45,097C,109,210,80,0.0
1788188459.48,098E,0,0,80,0.0
1788188459.50,010B,32,0,80,0.0
1788188459.52,1101,0,0,80,0.0
1788188459.55,1103,0,0,80,0.0
1788188459.55,0110,0,187,80,0.0
1788188459.58,1104,0,0,80,0.0
1788188459.60,010B,32,0,80,0.0
1788188459.61,114A,55,128,80,0.0
1788188459.64,114D,44,192,79,0.0
1788188459.65,0110,0,185,79,0.0
