t,pid,b1,b2,coolant,speed
1787938899.03,0000,190,63,0,0.0
1787938899.06,0002,0,0,0,0.0
1787938899.09,0003,2,0,89,0.0
1787938899.10,010B,45,0,89,0.0
1787938899.13,0005,129,0,89,0.0
1787938899.16,0006,136,0,89,0.0
1787938899.19,0007,128,0,89,0.0
1787938899.21,010B,45,0,89,0.0
1787938899.22,000B,45,0,89,0.0
1787938899.25,000C,11,252,89,0.0
1787938899.26,0110,1,37,89,0.0
1787938899.28,000D,0,0,89,0.0
1787938899.31,010B,45,0,89,0.0
1787938899.32,000E,137,0,89,0.0
1787938899.35,000F,102,0,89,0.0
1787938899.36,0110,1,40,89,0.0
1787938899.38,0010,1,40,89,0.0
1787938899.41,010B,45,0,89,0.0
1787938899.41,0011,30,0,89,0.0
1787938899.44,0013,1,0,89,0.0
1787938899.46,0110,1,37,89,0.0
1787938899.48,001C,10,0,89,0.0
1787938899.51,010B,45,0,89,0.0
1787938899.52,001F,0,36,89,0.0
1787938899.55,0020,128,21,89,0.0
1787938899.55,0110,1,27,89,0.0
1787938899.58,0021,0,0,89,0.0
1787938899.61,002C,0,0,89,0.0
1787938899.64,002E,0,0,89,0.0
1787938899.66,0110,1,37,89,0.0
1787938899.68,0030,255,0,89,0.0
1787938899.71,003C,24,35,89,0.0
1787938899.74,0040,104,0,89,0.0
1787938899.76,0110,1,33,89,0.0
1787938899.77,0042,53,14,89,0.0
1787938899.80,0043,0,73,89,0.0
1787938899.81,010B,45,0,89,0.0
1787938899.84,0200,0,0,89,0.0
1787938899.86,0110,1,33,89,0.0
1787938899.87,0202,0,0,89,0.0
1787938899.90,0900,6,89,89,0.0
1787938899.91,010B,45,0,89,0.0
1787938899.93,0968,0,0,89,0.0
1787938899.96,0110,1,37,89,0.0
1787938899.96,096E,11,184,89,0.0
1787938900.00,097C,108,175,89,0.0
1787938900.01,010B,45,0,89,0.0
1787938900.03,098E,0,0,89,0.0
1787938900.06,0110,1,27,89,0.0
1787938900.06,1101,1,0,89,0.0
1787938900.10,1103,12,0,89,0.0
1787938900.11,010B,45,0,89,0.0
1787938900.13,1104,1,0,89,0.0
1787938900.16,0110,1,40,89,0.0
1787938900.16,114A,43,64,89,0.0
1787938900.20,114D,35,128,89,0.0
1787938900.20,010B,45,0,89,0.0
1787938900.23,1153,62,165,89,0.0
1787938900.26,1154,29,192,89,0.0
1787938900.29,1169,29,181,89,0.0
1787938900.31,010B,45,0,89,0.0
1787938900.32,1173,2,88,89,0.0
1787938900.36,1177,21,124,89,0.0
1787938900.39,1410,1,77,89,0.0
1787938900.41,010B,45,0,89,0.0
1787938900.42,1631,1,0,89,0.0
1787938900.45,1678,0,0,89,0.0
1787938900.46,0110,1,33,89,0.0
1787938900.48,1681,0,0,89,0.0
1787938900.51,010B,45,0,89,0.0
1787938900.52,16CD,0,0,89,0.0
1787938900.55,16CE,255,249,89,0.0
1787938900.56,0110,1,37,89,0.0
1787938900.58,16CF,13,227,89,0.0
1787938900.60,010B,45,0,89,0.0
1787938900.61,16E8,79,133,89,0.0
1787938900.64,16E9,0,118,89,0.0
1787938900.66,0110,1,33,89,0.0
1787938900.66,17B3,139,0,89,0.0
1787938900.68,16F0,3,131,89,0.0
1787938900.71,010B,45,0,89,0.0
1787938900.72,1704,0,0,89,0.0
1787938900.75,1706,128,0,89,0.0
1787938900.76,0110,1,43,89,0.0
1787938900.78,1709,0,0,89,0.0
1787938900.81,010B,45,0,89,0.0
1787938900.81,1717,1,0,89,0.0
1787938900.84,1718,1,0,89,0.0
1787938900.86,0110,1,43,89,0.0
1787938900.88,1746,0,0,89,0.0
1787938900.91,1782,153,128,89,0.0
1787938900.91,010B,45,0,89,0.0
1787938900.94,1783,110,192,89,0.0
1787938900.96,0110,1,43,89,0.0
1787938900.97,17A0,33,0,89,0.0
1787938901.00,17A6,0,0,89,0.0
1787938901.01,010B,45,0,89,0.0
1787938901.04,17B0,20,0,89,0.0
1787938901.06,0110,1,30,89,0.0
1787938901.07,17B1,32,0,89,0.0
1787938901.10,17B2,4,0,89,0.0
1787938901.11,010B,45,0,89,0.0
1787938901.13,17B3,139,0,89,0.0
1787938901.16,0110,1,33,89,0.0
1787938901.17,17B5,80,0,89,0.0
1787938901.20,17B6,0,0,89,0.0
1787938901.21,010B,45,0,89,0.0
1787938901.24,17B8,238,0,89,0.0
1787938901.26,0110,1,40,89,0.0
1787938901.27,17BA,0,0,89,0.0
1787938901.30,17BB,0,0,89,0.0
1787938901.31,010B,45,0,89,0.0
1787938901.33,17BC,0,0,89,0.0
1787938901.36,0110,1,40,89,0.0
1787938901.40,17BE,0,0,89,0.0
1787938901.41,010B,45,0,89,0.0
1787938901.43,17C1,234,0,89,0.0
1787938901.46,3201,23,112,89,0.0
1787938901.49,0105,129,0,89,0.0
1787938901.51,010B,45,0,89,0.0
1787938901.52,010F,102,0,89,0.0
1787938901.55,0110,1,30,89,0.0
1787938901.56,0110,1,27,89,0.0
1787938901.58,010B,45,0,89,0.0
1787938901.61,010B,45,0,89,0.0
1787938901.61,0106,135,0,89,0.0
1787938901.65,0107,128,0,89,0.0
1787938901.66,0110,1,40,89,0.0
1787938901.68,010E,139,0,89,0.0
1787938901.71,010B,45,0,89,0.0
1787938901.71,0142,53,17,89,0.0
1787938901.75,0000,190,63,89,0.0
1787938901.76,0110,1,33,89,0.0
1787938901.78,0002,0,0,89,0.0
1787938901.81,010B,45,0,89,0.0
1787938901.81,0003,2,0,89,0.0
1787938901.84,0005,129,0,89,0.0
1787938901.86,0110,1,47,89,0.0
1787938901.88,0006,135,0,89,0.0
1787938901.91,0007,128,0,89,0.0
1787938901.94,000B,45,0,89,0.0
1787938901.95,0110,1,33,89,0.0
1787938901.97,000C,11,255,89,0.0
1787938902.01,000D,0,0,89,0.0
1787938902.04,000E,136,0,89,0.0
1787938902.06,0110,1,33,89,0.0
1787938902.08,000F,102,0,89,0.0
1787938902.11,0010,1,33,89,0.0
1787938902.14,0011,30,0,89,0.0
1787938902.16,0110,1,33,89,0.0
1787938902.17,0013,1,0,89,0.0
1787938902.20,001C,10,0,89,0.0
1787938902.21,010B,45,0,89,0.0
1787938902.24,001F,0,38,89,0.0
1787938902.26,0110,1,40,89,0.0
1787938902.28,0020,128,21,89,0.0
1787938902.31,0021,0,0,89,0.0
1787938902.34,002C,0,0,89,0.0
1787938902.36,0110,1,37,89,0.0
1787938902.37,002E,0,0,89,0.0
1787938902.40,0030,255,0,89,0.0
1787938902.41,010B,45,0,89,0.0
1787938902.43,003C,24,21,89,0.0
1787938902.46,0110,1,30,89,0.0
1787938902.47,0040,104,0,89,0.0
1787938902.50,0042,53,13,89,0.0
1787938902.51,010B,45,0,89,0.0
1787938902.53,0043,0,73,89,0.0
1787938902.56,0110,1,33,89,0.0
1787938902.56,0200,0,0,89,0.0
1787938902.60,0202,0,0,89,0.0
1787938902.61,010B,44,0,89,0.0
1787938902.63,0900,6,84,89,0.0
1787938902.66,0110,1,33,89,0.0
1787938902.66,0142,52,251,89,0.0
1787938902.66,17B3,139,0,89,0.0
1787938902.70,096E,11,184,89,0.0
1787938902.71,010B,45,0,89,0.0
1787938902.73,097C,108,177,89,0.0
1787938902.76,0110,1,33,89,0.0
1787938902.76,098E,0,0,89,0.0
1787938902.80,1101,1,0,89,0.0
1787938902.81,010B,44,0,89,0.0
1787938902.83,1103,12,0,89,0.0
1787938902.86,1104,1,0,89,0.0
1787938902.89,114A,43,64,89,0.0
1787938902.91,010B,45,0,89,0.0
1787938902.92,114D,35,128,89,0.0
1787938902.96,1153,62,135,89,0.0
1787938902.96,0110,1,33,89,0.0
1787938902.99,1154,29,192,89,0.0
1787938903.01,010B,45,0,89,0.0
1787938903.02,1169,29,181,89,0.0
1787938903.05,1173,2,243,89,0.0
1787938903.06,0110,1,33,89,0.0
1787938903.09,1177,21,124,89,0.0
1787938903.11,010B,45,0,89,0.0
1787938903.12,1410,1,78,89,0.0
1787938903.15,1631,1,0,89,0.0
1787938903.16,0110,1,33,89,0.0
1787938903.19,1678,0,0,89,0.0
1787938903.21,010B,45,0,89,0.0
1787938903.22,1681,0,0,89,0.0
1787938903.25,16CD,0,0,89,0.0
1787938903.26,0110,1,40,89,0.0
1787938903.28,16CE,255,248,89,0.0
1787938903.31,010B,45,0,89,0.0
1787938903.31,16CF,13,174,89,0.0
1787938903.35,16E8,76,4,89,0.0
1787938903.36,0110,1,37,89,0.0
1787938903.38,16E9,0,117,89,0.0
1787938903.41,010B,45,0,89,0.0
1787938903.41,16F0,3,131,89,0.0
1787938903.44,1704,0,0,89,0.0
1787938903.46,0110,1,37,89,0.0
1787938903.48,1706,128,0,89,0.0
1787938903.51,010B,45,0,89,0.0
1787938903.55,1717,1,0,89,0.0
1787938903.56,0110,1,33,89,0.0
1787938903.58,1718,1,0,89,0.0
1787938903.60,1746,0,0,89,0.0
1787938903.61,010B,45,0,89,0.0
1787938903.63,1782,153,64,89,0.0
1787938903.66,0110,1,40,89,0.0
1787938903.67,1783,110,192,89,0.0
1787938903.71,17A0,33,0,89,0.0
1787938903.74,17A6,0,0,89,0.0
1787938903.76,0110,1,37,89,0.0
1787938903.77,17B0,20,0,89,0.0
1787938903.80,17B1,32,0,89,0.0
1787938903.81,010B,45,0,89,0.0
1787938903.83,17B2,4,0,89,0.0
1787938903.86,0110,1,43,89,0.0
1787938903.87,17B3,139,0,89,0.0
1787938903.90,17B5,80,0,89,0.0
1787938903.91,010B,45,0,89,0.0
1787938903.93,17B6,0,0,89,0.0
1787938903.96,0110,1,37,89,0.0
1787938903.96,17B8,238,0,89,0.0
1787938904.00,17BA,0,0,89,0.0
1787938904.01,010B,45,0,89,0.0
1787938904.03,17BB,0,0,89,0.0
1787938904.06,0110,1,40,89,0.0
1787938904.06,17BC,0,0,89,0.0
1787938904.09,17BD,47,0,89,0.0
1787938904.11,010B,45,0,89,0.0
1787938904.12,17BE,0,0,89,0.0
1787938904.16,0110,1,30,89,0.0
1787938904.16,17C1,234,0,89,0.0
1787938904.20,3201,23,112,89,0.0
1787938904.21,010B,45,0,89,0.0
1787938904.22,0105,129,0,89,0.0
1787938904.25,010F,102,0,89,0.0
1787938904.26,0110,1,40,89,0.0
1787938904.29,0110,1,40,89,0.0
1787938904.31,010B,45,0,89,0.0
1787938904.32,010B,45,0,89,0.0
1787938904.35,0106,135,0,89,0.0
1787938904.36,0110,1,30,89,0.0
1787938904.38,0107,128,0,89,0.0
1787938904.41,010B,45,0,89,0.0
1787938904.42,010E,139,0,89,0.0
1787938904.45,0142,53,15,89,0.0
1787938904.46,0110,1,33,89,0.0
1787938904.48,0000,190,63,89,0.0
1787938904.51,010B,45,0,89,0.0
1787938904.51,0002,0,0,89,0.0
1787938904.55,0003,2,0,89,0.0
1787938904.56,0110,1,27,89,0.0
1787938904.58,0005,129,0,89,0.0
1787938904.61,010B,45,0,89,0.0
1787938904.61,0006,135,0,89,0.0
1787938904.64,0007,128,0,89,0.0
1787938904.66,0110,1,30,89,0.0
1787938904.66,17B3,139,0,89,0.0
1787938904.68,000B,45,0,89,0.0
1787938904.71,010B,45,0,89,0.0
1787938904.71,000C,11,243,89,0.0
1787938904.74,000D,0,0,89,0.0
1787938904.75,0110,1,40,89,0.0
1787938904.78,000E,138,0,89,0.0
1787938904.80,000F,102,0,89,0.0
1787938904.81,010B,45,0,89,0.0
1787938904.84,0010,1,37,89,0.0
1787938904.86,0110,1,33,89,0.0
1787938904.87,0011,30,0,89,0.0
1787938904.91,0013,1,0,89,0.0
1787938904.94,001C,10,0,89,0.0
1787938904.96,0110,1,37,89,0.0
1787938904.97,001F,0,41,89,0.0
1787938905.00,0020,128,21,89,0.0
1787938905.01,010B,45,0,89,0.0
1787938905.04,0021,0,0,89,0.0
1787938905.06,0110,1,37,89,0.0
1787938905.07,002C,0,0,89,0.0
1787938905.11,002E,0,0,89,0.0
1787938905.14,0030,255,0,89,0.0
1787938905.16,0110,1,37,89,0.0
1787938905.17,003C,24,8,89,0.0
1787938905.20,0040,104,0,89,0.0
1787938905.21,010B,45,0,89,0.0
1787938905.23,0042,53,10,89,0.0
1787938905.26,0110,1,27,89,0.0
1787938905.27,0043,0,73,89,0.0
1787938905.30,0200,0,0,89,0.0
1787938905.31,010B,45,0,89,0.0
1787938905.33,0202,0,0,89,0.0
1787938905.36,0110,1,37,89,0.0
1787938905.36,0900,6,89,89,0.0
1787938905.40,0968,0,0,89,0.0
1787938905.41,010B,45,0,89,0.0
1787938905.43,096E,11,184,89,0.0
1787938905.46,0110,1,17,89,0.0
1787938905.46,097C,108,178,89,0.0
1787938905.49,098E,0,0,89,0.0
1787938905.51,010B,45,0,89,0.0
1787938905.53,1101,1,0,89,0.0
1787938905.56,1103,12,0,89,0.0
1787938905.59,1104,1,0,89,0.0
1787938905.61,010B,45,0,89,0.0
1787938905.63,114A,43,64,89,0.0
1787938905.66,114D,35,128,89,0.0
1787938905.69,1153,62,170,89,0.0
1787938905.71,010B,45,0,89,0.0
1787938905.72,1154,29,192,89,0.0
1787938905.75,1169,29,179,89,0.0
1787938905.76,0110,1,47,89,0.0
1787938905.79,1173,2,13,89,0.0
1787938905.81,010B,45,0,89,0.0
1787938905.82,1177,21,124,89,0.0
1787938905.85,1410,1,77,89,0.0
1787938905.86,0110,1,37,89,0.0
1787938905.89,1631,1,0,89,0.0
1787938905.90,010B,45,0,89,0.0
1787938905.92,1678,0,0,89,0.0
1787938905.95,1681,0,0,89,0.0
1787938905.99,16CD,0,0,89,0.0
1787938906.01,010B,45,0,89,0.0
1787938906.02,16CE,255,247,89,0.0
1787938906.05,16CF,13,197,89,0.0
1787938906.06,0110,1,33,89,0.0
1787938906.08,16E8,85,232,89,0.0
1787938906.10,010B,45,0,89,0.0
1787938906.11,16E9,0,118,89,0.0
1787938906.15,16F0,3,131,89,0.0
1787938906.16,0110,1,33,89,0.0
1787938906.18,1704,0,0,89,0.0
1787938906.21,010B,45,0,89,0.0
1787938906.21,1706,128,0,89,0.0
1787938906.24,1709,0,0,89,0.0
1787938906.26,0110,1,40,89,0.0
1787938906.27,1717,1,0,89,0.0
1787938906.31,010B,45,0,89,0.0
1787938906.35,1746,0,0,89,0.0
1787938906.36,0110,1,40,89,0.0
1787938906.38,1782,153,64,89,0.0
1787938906.41,1783,110,192,89,0.0
1787938906.44,17A0,33,0,89,0.0
1787938906.46,0110,1,37,89,0.0
1787938906.47,17A6,0,0,89,0.0
1787938906.51,17B0,20,0,89,0.0
1787938906.54,17B1,32,0,89,0.0
1787938906.56,0110,1,30,89,0.0
1787938906.57,17B2,4,0,89,0.0
1787938906.60,17B3,140,0,89,0.0
1787938906.61,010B,45,0,89,0.0
1787938906.63,17B5,80,0,89,0.0
1787938906.66,0110,1,33,89,0.0
1787938906.66,17B3,140,0,89,0.0
1787938906.67,17B6,0,0,89,0.0
1787938906.70,17B8,238,0,89,0.0
1787938906.70,010B,45,0,89,0.0
1787938906.74,17BA,0,0,89,0.0
1787938906.76,0110,1,27,89,0.0
1787938906.77,17BB,0,0,89,0.0
1787938906.80,17BC,0,0,89,0.0
1787938906.80,010B,45,0,89,0.0
1787938906.83,17BD,47,0,89,0.0
1787938906.86,0110,1,37,89,0.0
1787938906.87,17BE,0,0,89,0.0
1787938906.90,17C1,234,0,89,0.0
1787938906.91,010B,45,0,89,0.0
1787938906.93,3201,23,112,89,0.0
1787938906.96,0110,1,37,89,0.0
1787938906.96,0105,129,0,89,0.0
1787938906.99,010F,102,0,89,0.0
1787938907.01,010B,45,0,89,0.0
1787938907.02,0110,1,40,89,0.0
1787938907.05,010B,45,0,89,0.0
1787938907.09,0106,135,0,89,0.0
1787938907.11,010B,45,0,89,0.0
1787938907.12,0107,128,0,89,0.0
1787938907.15,010E,139,0,89,0.0
1787938907.16,0110,1,40,89,0.0
1787938907.19,0142,53,20,89,0.0
1787938907.21,010B,45,0,89,0.0
1787938907.22,0000,190,63,89,0.0
1787938907.25,0002,0,0,89,0.0
1787938907.26,0110,1,37,89,0.0
1787938907.29,0003,2,0,89,0.0
1787938907.31,010B,45,0,89,0.0
1787938907.32,0005,129,0,89,0.0
1787938907.35,0006,135,0,89,0.0
1787938907.36,0110,1,33,89,0.0
