t,pid,b1,b2,coolant,speed
1788105455.13,0000,190,63,0,0.0
1788105455.17,0002,0,0,0,0.0
1788105455.20,0003,2,0,29,0.0
1788105455.23,0005,69,0,29,0.0
1788105455.26,0006,121,0,29,0.0
1788105455.30,0007,127,0,29,0.0
1788105455.33,000B,46,0,29,0.0
1788105455.36,000C,23,246,29,0.0
1788105455.39,000D,0,0,29,0.0
1788105455.42,000E,143,0,29,0.0
1788105455.45,000F,66,0,29,0.0
1788105455.49,0010,2,180,29,0.0
1788105455.52,0011,29,0,29,0.0
1788105455.55,0013,1,0,29,0.0
1788105455.58,001C,10,0,29,0.0
1788105455.62,001F,0,24,29,0.0
1788105455.64,0020,128,21,29,0.0
1788105455.67,0021,0,0,29,0.0
1788105455.71,002C,0,0,29,0.0
1788105455.74,002E,0,0,29,0.0
1788105455.77,0030,255,0,29,0.0
1788105455.81,003C,4,29,29,0.0
1788105455.84,0040,104,0,29,0.0
1788105455.87,0042,55,99,29,0.0
1788105455.90,0043,0,85,29,0.0
1788105455.93,0200,0,0,29,0.0
1788105455.97,0202,0,0,29,0.0
1788105456.01,0900,6,109,29,0.0
1788105456.04,0968,0,0,29,0.0
1788105456.07,096E,23,199,29,0.0
1788105456.09,097C,113,124,29,0.0
1788105456.13,098E,0,0,29,0.0
1788105456.16,1101,1,0,29,0.0
1788105456.20,1103,20,0,29,0.0
1788105456.23,1104,1,0,29,0.0
1788105456.26,114A,106,64,29,0.0
1788105456.29,114D,137,0,29,0.0
1788105456.33,1153,93,75,29,0.0
1788105456.36,1154,29,128,29,0.0
1788105456.39,1169,29,128,29,0.0
