t,pid,b1,b2,coolant,speed
1787944864.52,0000,190,63,0,0.0
1787944864.55,0002,0,0,78,0.0
1787944864.56,010B,45,0,78,0.0
1787944864.58,0003,2,0,78,0.0
1787944864.61,0005,118,0,78,0.0
1787944864.61,0110,1,47,78,0.0
1787944864.64,0006,143,0,78,0.0
1787944864.66,010B,45,0,78,0.0
1787944864.68,0007,131,0,78,0.0
1787944864.71,000B,45,0,78,0.0
1787944864.72,0110,1,37,78,0.0
1787944864.74,000C,11,239,78,0.0
1787944864.76,010B,45,0,78,0.0
1787944864.77,000D,0,0,78,0.0
1787944864.80,000E,138,0,78,0.0
1787944864.81,0110,1,33,78,0.0
1787944864.84,000F,107,0,78,0.0
1787944864.87,0010,1,37,78,0.0
1787944864.90,0011,30,0,78,0.0
1787944864.91,0110,1,37,78,0.0
1787944864.93,0013,1,0,78,0.0
1787944864.96,001C,10,0,78,0.0
1787944864.96,010B,45,0,78,0.0
1787944865.00,001F,0,36,78,0.0
1787944865.01,0110,1,37,78,0.0
1787944865.03,0020,128,21,78,0.0
1787944865.06,0021,0,0,78,0.0
1787944865.06,010B,45,0,78,0.0
1787944865.09,002C,0,0,78,0.0
1787944865.11,0110,1,40,78,0.0
1787944865.12,002E,0,0,78,0.0
1787944865.16,0030,255,0,78,0.0
1787944865.16,010B,45,0,78,0.0
1787944865.19,003C,19,33,78,0.0
1787944865.21,0110,1,37,78,0.0
1787944865.22,0040,104,0,78,0.0
1787944865.26,0042,52,202,78,0.0
1787944865.26,010B,45,0,78,0.0
1787944865.29,0043,0,75,78,0.0
1787944865.31,0110,1,43,78,0.0
1787944865.32,0200,0,0,78,0.0
1787944865.36,0202,0,0,78,0.0
1787944865.36,010B,45,0,78,0.0
1787944865.39,0900,6,94,78,0.0
1787944865.41,0110,1,37,78,0.0
1787944865.42,0968,0,0,78,0.0
1787944865.45,096E,11,184,78,0.0
1787944865.46,010B,45,0,78,0.0
1787944865.48,097C,108,70,78,0.0
1787944865.52,098E,0,0,78,0.0
1787944865.55,1101,1,0,78,0.0
