t,pid,b1,b2,coolant,speed
1787969454.22,0000,190,63,0,0.0
1787969454.24,0110,1,1,0,0.0
1787969454.25,0002,0,0,0,0.0
1787969454.28,0003,2,0,0,0.0
1787969454.29,010B,43,0,0,0.0
1787969454.31,0005,127,0,87,0.0
1787969454.34,0110,0,254,87,0.0
1787969454.35,0006,127,0,87,0.0
1787969454.38,0007,126,0,87,0.0
1787969454.39,010B,43,0,87,0.0
1787969454.42,000B,43,0,87,0.0
1787969454.44,0110,1,8,87,0.0
1787969454.45,000C,11,51,87,0.0
1787969454.48,000D,0,0,87,0.0
1787969454.49,010B,43,0,87,0.0
1787969454.51,000E,147,0,87,0.0
1787969454.54,0110,1,11,87,0.0
1787969454.55,000F,91,0,87,0.0
1787969454.58,0010,1,4,87,0.0
1787969454.59,010B,43,0,87,0.0
1787969454.61,0011,30,0,87,0.0
1787969454.64,0013,1,0,87,0.0
1787969454.67,001C,10,0,87,0.0
1787969454.69,010B,43,0,87,0.0
1787969454.71,001F,2,116,87,0.0
1787969454.74,0020,128,21,87,0.0
1787969454.77,0021,0,0,87,0.0
1787969454.79,010B,43,0,87,0.0
1787969454.80,002C,0,0,87,0.0
1787969454.83,002E,35,0,87,0.0
1787969454.84,0110,0,248,87,0.0
1787969454.87,0030,255,0,87,0.0
1787969454.89,010B,43,0,87,0.0
1787969454.91,003C,20,220,87,0.0
1787969454.94,0040,104,0,87,0.0
1787969454.94,0110,1,8,87,0.0
1787969454.97,0042,53,252,87,0.0
1787969454.99,010B,43,0,87,0.0
1787969455.00,0043,0,70,87,0.0
1787969455.03,0200,0,0,87,0.0
1787969455.04,0110,1,8,87,0.0
1787969455.07,0202,0,0,87,0.0
1787969455.09,010B,43,0,87,0.0
1787969455.10,0900,6,64,87,0.0
1787969455.13,0968,0,0,87,0.0
1787969455.14,0110,1,1,87,0.0
1787969455.15,17B3,113,0,87,0.0
1787969455.16,096E,11,42,87,0.0
1787969455.19,010B,43,0,87,0.0
1787969455.19,097C,110,177,87,0.0
1787969455.23,098E,0,0,87,0.0
1787969455.24,0110,1,4,87,0.0
